acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.03,-0.93,-0.05,-8.56,5.69,3.95
-0.03,-0.93,-0.05,-11.1,3.73,4.38
-0.02,-0.96,-0.05,-12.7,1.76,4.17
-0.0,-0.99,-0.06,-12.82,0.43,3.1
0.02,-1.0,-0.05,-12.35,0.63,1.56
-0.0,-0.99,-0.04,-12.53,0.26,-0.85
-0.01,-1.01,-0.05,-12.24,-0.7,-2.76
0.0,-1.02,-0.05,-10.95,-0.89,-2.75
0.0,-1.0,-0.06,-9.51,-0.78,-1.48
-0.0,-0.98,-0.06,-8.53,-0.84,0.5
-0.0,-0.97,-0.07,-8.63,-0.21,1.86
0.02,-0.97,-0.06,-8.93,-0.02,1.77
0.02,-0.96,-0.07,-9.74,0.6,0.72
0.0,-0.96,-0.06,-10.81,0.95,-0.41
-0.0,-0.96,-0.04,-11.54,0.21,-0.47
-0.01,-0.95,-0.06,-12.63,-0.29,0.55
-0.01,-0.95,-0.06,-14.24,-0.89,1.91
0.0,-0.96,-0.07,-15.48,-0.14,3.37
-0.01,-0.96,-0.08,-17.56,0.14,4.61
-0.02,-1.0,-0.06,-18.58,-0.64,4.4
-0.01,-1.06,-0.05,-16.67,-1.22,4.38
-0.0,-1.12,-0.03,-11.98,-1.02,5.95
-0.0,-1.18,-0.03,-5.08,-0.56,7.89
0.01,-1.31,-0.01,6.73,-1.07,9.4
0.04,-1.41,0.0,23.27,-0.38,14.21
0.05,-1.46,-0.0,41.91,1.18,22.31
0.09,-1.43,-0.04,58.34,5.47,33.04
0.11,-1.31,-0.09,66.98,10.31,43.08
0.08,-1.25,-0.1,69.27,11.94,47.15
0.07,-1.29,-0.07,70.67,10.15,47.27
0.05,-1.35,-0.04,75.95,10.27,50.08
-0.05,-1.52,0.05,91.98,7.21,57.57
-0.14,-1.68,0.14,117.74,0.41,71.33
-0.14,-1.79,0.15,153.68,-4.92,98.4
-0.03,-1.76,0.07,191.3,-4.46,128.78
0.14,-1.67,-0.03,224.53,7.88,157.42
0.21,-1.52,-0.07,244.43,20.6,167.57
0.21,-1.39,-0.08,254.0,28.08,162.32
0.19,-1.31,-0.07,262.17,38.87,157.98
0.13,-1.26,-0.04,274.14,50.58,166.18
0.03,-1.17,0.01,285.13,57.37,170.93
-0.13,-1.11,0.06,289.47,56.31,168.85
-0.26,-1.13,0.12,297.85,43.28,168.26
-0.19,-1.15,0.16,311.71,39.15,177.02
-0.01,-1.11,0.04,336.81,45.82,193.02
0.09,-0.97,-0.03,351.95,59.05,198.14
0.09,-0.76,-0.09,357.69,71.24,192.72
-0.01,-0.59,-0.08,358.14,79.02,197.92
-0.05,-0.5,-0.08,362.64,88.2,214.52
-0.12,-0.38,-0.07,367.69,97.89,243.19
-0.19,-0.45,-0.0,384.11,103.59,283.02
-0.14,-0.45,-0.01,402.96,106.06,306.46
-0.12,-0.37,-0.05,415.05,104.08,316.4
-0.17,-0.34,-0.04,422.05,94.08,309.01
-0.13,-0.26,-0.07,424.85,82.73,295.37
0.02,-0.13,-0.19,422.99,81.22,280.98
0.16,0.06,-0.29,413.51,88.02,263.59
0.22,0.22,-0.33,397.82,101.56,245.95
0.13,0.35,-0.34,377.5,110.98,219.98
-0.02,0.38,-0.3,360.93,111.42,200.52
-0.12,0.38,-0.26,352.15,110.34,185.95
-0.22,0.43,-0.26,348.41,106.89,178.47
-0.32,0.44,-0.26,349.88,103.89,181.6
-0.32,0.47,-0.28,357.19,103.63,194.78
-0.21,0.6,-0.4,361.56,110.35,206.81
-0.16,0.71,-0.46,356.98,117.97,205.59
-0.15,0.77,-0.48,347.97,117.73,192.52
-0.25,0.82,-0.5,335.42,112.78,175.53
-0.33,0.84,-0.47,326.9,103.18,171.57
-0.27,0.92,-0.52,319.24,94.82,169.62
-0.22,1.09,-0.57,301.16,86.23,152.82
-0.2,1.19,-0.61,272.0,76.2,125.97
-0.26,1.25,-0.61,238.37,61.68,92.34
-0.38,1.22,-0.54,206.14,42.24,64.87
-0.41,1.08,-0.51,184.17,21.56,44.55
-0.25,0.93,-0.59,176.6,15.13,32.21
-0.14,0.98,-0.7,172.81,20.4,23.28
-0.12,1.08,-0.77,168.4,29.39,16.98
-0.15,1.2,-0.79,161.74,38.08,15.16
-0.19,1.33,-0.82,148.73,42.79,11.27
-0.25,1.39,-0.82,128.85,42.85,3.01
-0.28,1.36,-0.84,109.07,41.28,-7.36
-0.38,1.29,-0.82,95.86,36.61,-17.92
-0.45,1.28,-0.78,88.12,27.76,-21.56
-0.42,1.34,-0.81,80.4,20.18,-26.63
-0.38,1.43,-0.86,67.21,17.1,-33.74
-0.4,1.52,-0.88,49.51,14.15,-41.82
-0.44,1.61,-0.87,27.27,10.08,-47.3
-0.45,1.61,-0.86,6.31,7.01,-48.09
-0.45,1.57,-0.85,-11.48,4.58,-48.98
-0.46,1.57,-0.85,-30.27,2.15,-54.76
-0.45,1.54,-0.83,-50.31,-0.29,-62.47
-0.45,1.47,-0.79,-66.93,-2.29,-69.6
-0.49,1.38,-0.76,-80.26,-5.05,-74.47
-0.52,1.31,-0.71,-91.07,-9.73,-79.98
-0.54,1.31,-0.66,-101.59,-15.08,-83.54
-0.54,1.29,-0.64,-114.18,-21.69,-87.07
-0.56,1.24,-0.63,-126.95,-28.78,-90.4
-0.55,1.25,-0.64,-143.1,-38.37,-104.73
-0.53,1.26,-0.65,-164.6,-49.25,-126.52
