acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.15,-0.84,-0.0,-20.81,-5.31,-1.08
-0.14,-0.82,-0.01,-25.33,-5.94,-0.02
-0.15,-0.81,-0.02,-31.21,-7.34,0.29
-0.18,-0.82,-0.02,-36.75,-10.31,-1.44
-0.16,-0.87,-0.0,-41.3,-13.01,-2.56
-0.17,-0.93,-0.03,-44.14,-15.36,-2.6
-0.14,-0.95,-0.03,-43.24,-14.4,-1.8
-0.17,-1.0,0.0,-41.53,-16.2,-0.58
-0.14,-1.06,-0.02,-36.6,-17.07,1.56
-0.11,-1.08,-0.02,-31.13,-14.92,5.01
-0.13,-1.1,-0.03,-25.85,-13.79,7.63
-0.11,-1.1,-0.06,-22.55,-11.8,9.65
-0.11,-1.08,-0.07,-22.06,-9.51,10.35
-0.12,-1.1,-0.07,-21.62,-9.02,8.9
-0.12,-1.16,-0.05,-18.93,-10.06,8.98
-0.14,-1.25,-0.01,-10.63,-12.46,11.66
-0.14,-1.35,0.01,3.25,-16.56,16.06
-0.08,-1.4,-0.01,20.66,-16.98,24.26
-0.02,-1.4,-0.03,37.79,-12.9,33.05
0.0,-1.36,-0.04,52.37,-7.28,38.18
-0.06,-1.34,-0.03,62.76,-5.21,39.98
-0.13,-1.37,0.0,74.03,-8.64,43.1
-0.16,-1.37,0.01,87.39,-12.66,50.44
-0.12,-1.34,-0.01,100.4,-13.05,62.21
-0.1,-1.28,-0.01,110.55,-9.85,73.07
-0.14,-1.29,0.02,121.42,-7.73,83.16
-0.17,-1.31,0.05,136.24,-6.69,95.4
-0.18,-1.28,0.06,151.6,-4.35,109.77
-0.17,-1.25,0.05,167.59,0.55,127.85
-0.16,-1.19,0.07,179.77,6.2,137.28
-0.11,-1.09,0.05,184.46,12.66,137.25
-0.15,-1.0,0.06,184.64,17.62,136.55
-0.24,-1.0,0.13,186.08,17.57,136.69
-0.28,-1.01,0.16,191.73,14.93,137.42
-0.31,-0.99,0.17,197.95,12.93,137.28
-0.31,-0.97,0.2,204.27,10.84,137.48
-0.28,-0.86,0.17,207.13,13.45,139.11
-0.35,-0.83,0.21,210.41,15.54,148.7
-0.41,-0.85,0.26,218.67,13.13,159.22
-0.4,-0.79,0.26,227.04,10.21,166.18
-0.31,-0.67,0.21,230.64,12.11,173.02
-0.21,-0.49,0.17,224.66,22.27,173.22
-0.28,-0.41,0.19,216.79,31.98,183.89
-0.41,-0.46,0.29,216.89,33.97,201.63
-0.53,-0.56,0.38,225.11,27.91,214.72
-0.52,-0.61,0.4,238.72,18.27,219.65
-0.38,-0.54,0.34,248.66,14.7,215.24
-0.25,-0.42,0.26,251.66,17.31,203.47
-0.21,-0.36,0.23,253.24,23.15,193.77
-0.2,-0.39,0.25,261.8,30.0,187.74
-0.25,-0.35,0.25,274.17,34.7,187.31
-0.24,-0.24,0.21,285.22,41.51,193.28
-0.12,-0.11,0.13,290.47,58.17,203.05
-0.1,0.03,0.07,295.08,76.64,210.55
-0.23,-0.02,0.12,298.55,83.86,209.92
-0.26,-0.09,0.13,309.6,83.82,200.9
-0.31,-0.02,0.07,319.97,84.11,194.95
-0.25,0.05,0.0,331.74,87.62,188.85
-0.14,0.22,-0.12,337.74,94.15,174.89
-0.14,0.43,-0.2,330.46,103.3,156.53
-0.29,0.42,-0.16,326.47,107.45,159.1
-0.34,0.34,-0.13,334.82,113.37,178.5
-0.28,0.28,-0.19,358.99,118.75,215.79
-0.03,0.46,-0.33,370.32,135.8,234.21
0.06,0.6,-0.42,365.33,151.68,224.21
0.04,0.63,-0.49,354.46,161.44,195.59
-0.16,0.53,-0.47,348.5,160.78,166.79
-0.21,0.52,-0.5,349.79,155.3,139.76
-0.27,0.75,-0.6,341.66,147.95,106.35
-0.27,0.99,-0.67,319.68,143.19,83.74
-0.3,1.13,-0.71,294.79,140.56,69.21
-0.32,1.24,-0.76,269.8,139.71,62.46
-0.46,1.31,-0.76,240.84,132.03,50.09
-0.54,1.31,-0.74,211.77,117.34,29.04
-0.64,1.34,-0.75,180.34,96.61,-0.5
-0.74,1.27,-0.76,151.21,73.83,-32.12
-0.76,1.24,-0.78,127.13,51.82,-62.87
-0.76,1.35,-0.84,99.6,34.29,-93.83
-0.75,1.43,-0.87,71.47,22.81,-110.27
-0.79,1.45,-0.83,50.81,15.18,-102.84
-0.8,1.48,-0.81,36.23,11.59,-80.6
-0.76,1.52,-0.8,20.44,10.66,-58.34
-0.76,1.53,-0.82,-0.89,8.52,-47.74
-0.8,1.5,-0.8,-25.48,1.63,-50.61
-0.85,1.4,-0.74,-48.79,-8.95,-60.5
-0.86,1.25,-0.69,-64.0,-20.18,-69.79
-0.83,1.19,-0.65,-76.81,-30.67,-84.73
-0.81,1.16,-0.62,-90.92,-40.09,-103.16
-0.82,1.11,-0.58,-101.51,-48.09,-115.65
-0.83,1.1,-0.55,-109.91,-56.08,-121.53
-0.89,1.12,-0.52,-120.67,-66.78,-126.81
-0.93,1.16,-0.5,-135.56,-80.63,-136.34
-0.92,1.19,-0.5,-154.23,-94.87,-149.82
-0.96,1.16,-0.5,-173.27,-111.89,-163.77
-0.94,1.1,-0.47,-191.76,-127.86,-175.47
-0.91,1.04,-0.45,-206.05,-140.05,-181.79
-0.83,0.95,-0.45,-216.69,-148.56,-189.74
-0.78,0.89,-0.44,-229.8,-155.07,-205.86
-0.76,0.81,-0.41,-242.32,-160.46,-219.85
-0.76,0.73,-0.36,-249.24,-164.2,-223.65
