acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.11,-0.92,0.1,-7.91,-0.24,6.49
0.1,-0.92,0.1,-10.18,-0.53,6.49
0.1,-0.93,0.1,-10.72,-0.69,7.65
0.07,-0.95,0.11,-11.36,-1.76,8.78
0.08,-0.96,0.13,-12.7,-4.0,9.98
0.1,-1.0,0.13,-11.51,-4.08,11.6
0.12,-1.03,0.14,-9.56,-2.9,13.36
0.11,-1.04,0.14,-8.29,-3.34,14.75
0.1,-1.02,0.13,-10.9,-4.75,13.27
0.09,-1.07,0.17,-15.53,-8.11,9.33
0.11,-1.17,0.19,-16.63,-11.56,7.56
0.18,-1.26,0.18,-13.18,-11.24,5.73
0.19,-1.33,0.2,-10.46,-11.34,2.06
0.19,-1.45,0.23,-6.2,-14.64,-3.19
0.24,-1.57,0.2,0.63,-13.08,-10.14
0.19,-1.67,0.24,6.32,-19.34,-23.82
0.28,-1.77,0.19,10.89,-21.86,-36.31
0.3,-1.83,0.17,17.21,-20.18,-47.44
0.36,-1.83,0.13,20.52,-15.02,-60.29
0.34,-1.88,0.15,23.02,-11.89,-76.17
0.31,-1.86,0.18,25.91,-9.51,-89.68
0.27,-1.86,0.18,33.07,-6.5,-99.28
0.23,-1.86,0.22,43.07,-3.63,-106.34
0.26,-1.89,0.19,54.56,0.89,-115.65
0.2,-1.82,0.18,64.09,2.61,-129.53
0.15,-1.72,0.18,64.73,2.6,-145.1
0.15,-1.7,0.17,66.27,4.38,-160.21
0.16,-1.65,0.18,70.92,6.87,-172.78
0.11,-1.56,0.19,79.97,11.18,-178.69
0.0,-1.42,0.2,89.22,10.93,-180.5
-0.06,-1.24,0.22,89.8,5.88,-180.61
-0.04,-1.18,0.23,91.76,2.55,-180.29
0.04,-1.08,0.19,94.64,2.15,-183.18
0.07,-0.98,0.19,94.53,2.58,-188.46
0.02,-0.89,0.17,96.5,3.74,-191.92
0.0,-0.78,0.16,98.7,3.56,-190.63
-0.07,-0.71,0.2,97.4,1.3,-189.73
-0.06,-0.64,0.17,106.24,-2.69,-180.5
-0.05,-0.61,0.19,114.34,-0.09,-164.95
0.02,-0.5,0.14,121.95,8.49,-150.41
0.02,-0.34,0.13,124.79,8.31,-143.22
0.06,-0.25,0.12,121.11,6.17,-141.16
0.08,-0.1,0.09,109.19,3.39,-144.35
0.13,-0.02,0.07,85.44,-1.83,-154.98
0.2,-0.0,0.06,69.28,-6.98,-165.28
0.28,-0.04,0.05,63.63,-5.34,-164.52
0.29,-0.02,0.06,74.4,-0.56,-152.05
0.22,0.16,0.08,86.17,0.03,-130.08
0.23,0.43,0.03,85.74,-0.61,-105.92
0.23,0.63,0.03,70.53,-3.19,-83.62
0.28,0.72,0.01,51.02,-7.19,-64.32
0.35,0.75,-0.01,29.57,-7.77,-47.31
0.4,0.72,-0.01,10.5,-5.07,-30.34
0.41,0.65,0.0,-0.34,-1.86,-12.75
0.41,0.6,0.05,-4.87,0.47,5.6
0.41,0.59,0.05,-7.25,3.54,24.5
0.44,0.62,0.06,-9.62,5.24,41.65
0.41,0.73,0.03,-19.02,5.98,59.94
0.4,0.8,0.01,-32.49,7.11,81.36
0.38,0.78,-0.01,-47.02,8.31,103.01
0.35,0.74,-0.02,-63.22,8.9,123.34
0.31,0.67,-0.04,-79.51,8.79,142.38
0.27,0.58,-0.06,-96.84,8.26,159.37
0.24,0.45,-0.09,-112.09,5.33,173.92
0.23,0.31,-0.12,-126.29,7.47,188.7
0.18,0.11,-0.11,-135.48,8.17,201.47
0.16,-0.03,-0.1,-139.92,6.82,210.43
0.12,-0.12,-0.13,-144.76,5.71,217.28
0.08,-0.15,-0.19,-154.34,7.19,228.12
0.01,-0.19,-0.23,-167.01,7.3,241.37
-0.12,-0.33,-0.26,-184.38,4.73,253.6
-0.16,-0.65,-0.21,-199.1,-2.35,258.85
-0.15,-1.03,-0.22,-203.27,-7.79,257.05
-0.18,-1.35,-0.16,-199.01,-7.91,252.23
-0.23,-1.7,-0.02,-188.06,-8.95,244.85
-0.26,-2.07,0.12,-163.73,-16.17,229.45
-0.22,-2.28,0.19,-137.1,-20.26,212.79
-0.14,-2.41,0.21,-106.09,-17.02,200.31
-0.17,-2.47,0.16,-71.85,-11.11,180.17
0.39,-2.07,0.09,-75.42,13.07,167.04
-0.08,-2.4,0.22,-83.24,-1.88,116.98
0.11,-2.31,0.15,-68.08,-15.1,81.36
0.19,-2.29,0.12,-59.92,4.55,68.17
0.05,-2.31,0.26,-40.47,-3.76,50.6
0.27,-2.11,0.16,-31.73,4.37,39.62
0.15,-2.01,0.23,-14.72,-0.31,30.95
0.21,-1.79,0.18,-7.59,1.45,23.51
0.21,-1.68,0.17,-1.15,0.2,16.17
0.25,-1.57,0.15,2.37,2.7,10.66
0.23,-1.46,0.15,7.68,1.47,6.84
0.28,-1.37,0.09,11.16,2.24,4.46
0.26,-1.28,0.07,11.94,0.46,0.7
0.31,-1.2,0.02,11.45,4.12,-2.26
0.27,-1.15,0.03,10.32,6.41,-4.58
0.26,-1.1,0.01,7.97,7.74,-7.31
0.24,-1.09,0.01,8.4,7.47,-7.6
0.2,-1.06,0.01,6.89,8.72,-7.44
0.24,-1.06,0.02,9.65,9.24,-6.37
0.2,-1.03,0.01,9.92,10.55,-4.5
0.16,-1.04,0.03,13.86,9.63,-1.89
