acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.85,-1.36,-0.15,-5.83,-23.8,-31.62
-0.75,-1.44,-0.31,5.13,-22.58,-33.63
-0.74,-1.59,-0.34,17.89,-22.73,-38.84
-0.78,-1.61,-0.38,29.07,-20.87,-51.36
-0.77,-1.65,-0.39,34.69,-18.47,-63.71
-0.97,-1.76,-0.35,41.54,-22.03,-87.44
-1.07,-1.92,-0.31,48.35,-29.04,-102.23
-1.2,-2.08,-0.25,65.74,-36.12,-118.84
-1.31,-2.15,-0.19,80.95,-44.06,-134.66
-1.34,-2.3,-0.16,98.18,-53.18,-155.19
-1.46,-2.36,-0.16,115.4,-62.0,-180.5
-1.44,-2.49,-0.13,136.7,-69.44,-203.6
-1.53,-2.5,-0.21,169.25,-78.26,-234.49
-1.53,-2.25,-0.23,187.21,-87.24,-261.39
-1.48,-2.11,-0.31,206.72,-94.75,-278.11
-1.53,-1.83,-0.25,221.76,-101.76,-296.34
-1.46,-1.71,-0.22,234.35,-107.28,-309.54
-1.51,-1.5,-0.22,246.31,-113.65,-326.7
-1.44,-1.31,-0.17,246.99,-117.83,-337.77
-1.57,-1.2,-0.14,243.74,-131.59,-361.66
-1.44,-1.21,-0.14,238.37,-143.19,-387.6
-1.29,-1.16,-0.26,242.93,-143.28,-413.94
-1.36,-1.06,-0.22,257.07,-145.76,-422.37
-1.4,-0.84,-0.28,276.26,-153.62,-421.98
-1.45,-0.52,-0.27,288.38,-165.73,-412.98
-1.38,-0.38,-0.3,302.24,-181.73,-405.42
-1.32,-0.03,-0.38,305.77,-196.03,-409.27
-1.24,0.23,-0.38,288.66,-207.42,-413.74
-1.05,0.63,-0.48,253.86,-211.3,-439.86
-0.88,1.13,-0.43,194.6,-210.18,-465.37
-0.75,1.25,-0.38,144.26,-206.38,-484.06
-0.51,1.44,-0.36,99.6,-197.8,-482.76
-0.26,1.36,-0.37,73.92,-184.73,-470.14
-0.0,1.35,-0.43,72.73,-166.2,-443.05
0.12,1.45,-0.42,75.63,-150.4,-402.93
0.27,1.37,-0.46,88.09,-140.37,-363.02
0.41,1.5,-0.48,102.08,-127.62,-324.61
0.52,1.49,-0.46,113.71,-114.17,-292.84
0.63,1.52,-0.55,122.43,-99.27,-271.18
0.7,1.7,-0.53,118.23,-80.2,-249.36
0.65,1.85,-0.53,103.19,-68.49,-224.08
0.57,2.05,-0.45,87.79,-68.11,-174.35
0.8,2.18,-0.47,74.55,-62.76,-105.37
1.14,2.37,-0.53,40.89,-42.44,-46.79
1.26,2.32,-0.57,-9.51,-20.98,-6.08
1.3,2.16,-0.59,-62.95,2.2,27.31
1.18,1.79,-0.6,-98.49,24.31,57.04
1.04,1.6,-0.62,-119.68,45.66,91.62
0.95,1.57,-0.62,-124.46,64.98,137.86
0.99,1.73,-0.72,-121.5,89.28,192.41
1.05,2.12,-0.9,-125.42,120.31,261.94
0.94,2.34,-0.92,-118.4,163.13,343.36
0.78,2.67,-1.0,-108.43,204.7,437.95
0.5,3.01,-1.05,-113.62,248.96,500.26
-0.02,3.08,-1.16,-142.56,290.06,500.26
-0.6,3.08,-1.26,-201.33,325.3,500.26
-1.32,2.91,-1.41,-278.79,346.29,500.26
-1.92,2.51,-1.63,-365.31,355.45,500.26
-2.56,1.97,-1.88,-456.12,345.1,500.26
-3.11,1.3,-1.94,-500.27,310.66,500.26
-3.36,0.32,-1.84,-500.27,255.86,500.26
-3.25,-0.39,-1.66,-500.27,211.28,500.26
-3.06,-0.77,-1.42,-479.31,174.09,500.26
-3.11,-1.02,-1.15,-412.76,127.05,500.26
-3.22,-1.15,-0.8,-351.01,73.66,500.26
