acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.11,-0.99,-0.04,-29.36,-14.7,11.97
-0.11,-0.97,-0.04,-30.84,-15.94,13.02
-0.12,-0.96,-0.03,-32.78,-19.3,17.91
-0.13,-0.98,-0.05,-33.16,-24.31,23.19
-0.14,-1.02,-0.06,-31.22,-29.77,32.38
-0.17,-1.14,-0.06,-24.41,-35.21,41.04
-0.24,-1.33,-0.03,-5.98,-41.91,54.37
-0.29,-1.58,-0.05,28.44,-45.53,74.35
-0.23,-1.84,-0.12,71.47,-41.63,88.2
-0.32,-2.08,-0.08,98.18,-44.26,74.12
-0.33,-2.69,-0.11,195.33,-60.64,72.69
-0.47,-3.3,-0.17,340.2,-65.62,96.78
-0.42,-3.47,-0.34,500.26,-70.92,140.66
-0.38,-3.17,-0.57,500.26,-63.08,179.34
-0.48,-3.05,-0.75,500.26,-76.92,213.31
-0.46,-2.9,-0.98,500.26,-95.4,224.18
-0.36,-2.75,-1.36,500.26,-126.72,228.35
-0.2,-2.62,-1.86,500.26,-160.67,222.63
0.0,-2.14,-2.36,500.26,-196.14,214.73
-0.07,-1.95,-2.7,500.26,-220.69,210.81
-0.08,-1.39,-2.93,500.26,-245.25,199.1
-0.01,-0.68,-2.9,500.26,-259.13,185.76
-0.08,-0.46,-2.77,500.26,-270.11,161.04
-0.15,-0.48,-2.63,500.26,-278.78,135.19
-0.28,-0.26,-2.27,500.26,-285.6,113.53
-0.45,-0.55,-2.12,500.26,-298.84,112.09
-0.57,-0.55,-2.08,500.26,-318.73,130.78
-0.45,-0.14,-2.23,500.26,-333.24,147.39
-0.2,0.45,-2.32,500.26,-325.8,123.02
0.06,1.1,-2.24,500.26,-307.94,84.52
0.41,1.21,-2.25,500.26,-274.43,48.64
0.81,1.45,-2.31,420.49,-225.97,-13.39
0.97,2.05,-2.1,329.94,-173.82,-64.37
1.12,2.71,-1.86,224.67,-129.5,-84.99
1.14,2.97,-1.67,128.95,-81.89,-76.79
1.21,3.0,-1.59,52.64,-33.07,-61.56
1.08,2.79,-1.4,6.38,23.59,-67.98
0.88,2.83,-1.04,-33.63,55.21,-91.57
0.55,2.97,-0.58,-86.29,64.87,-100.56
0.38,3.16,-0.27,-157.39,75.22,-126.64
0.29,3.22,-0.12,-242.24,83.28,-147.91
0.27,3.22,0.01,-325.4,91.68,-159.39
0.21,3.28,0.1,-413.4,102.5,-169.54
0.17,3.49,0.06,-500.27,109.08,-208.87
