acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.18,-0.93,-0.01,-6.78,2.21,3.11
0.17,-0.96,-0.0,-9.02,3.33,2.69
0.17,-0.98,0.02,-9.28,4.03,2.33
0.17,-1.0,0.04,-8.73,5.15,3.15
0.15,-0.99,0.08,-9.62,5.39,3.07
0.13,-0.98,0.12,-13.68,6.4,1.46
0.09,-1.0,0.19,-16.27,6.25,0.44
0.04,-1.03,0.28,-18.3,5.56,-0.98
-0.01,-0.98,0.38,-24.29,3.89,-4.78
-0.12,-0.9,0.52,-37.75,1.15,-14.01
-0.3,-0.84,0.71,-59.33,-4.69,-22.0
-0.48,-0.88,0.94,-78.07,-15.47,-28.08
-0.73,-0.93,1.21,-89.74,-34.78,-29.69
-1.01,-1.05,1.44,-93.21,-61.68,-28.6
-1.34,-1.27,1.64,-85.5,-102.6,-30.79
-1.43,-1.45,1.6,-65.61,-145.13,-29.16
-1.49,-1.46,1.5,-38.63,-191.09,-28.63
-1.48,-1.4,1.26,-14.86,-229.73,-28.18
-1.42,-1.24,0.98,2.18,-250.14,-26.69
-1.39,-1.11,0.72,7.82,-250.14,-27.7
-1.39,-1.05,0.5,9.0,-250.14,-32.15
-1.34,-0.99,0.29,6.25,-250.14,-36.14
-1.39,-1.02,0.08,5.1,-250.14,-38.5
-1.44,-1.12,-0.14,11.53,-250.14,-37.98
-1.38,-1.3,-0.43,27.82,-250.14,-24.96
-1.21,-1.37,-0.78,53.64,-250.14,-25.4
-1.0,-1.27,-1.12,66.55,-250.14,-15.78
-0.73,-1.12,-1.39,61.76,-250.14,-11.64
-0.27,-0.76,-1.77,45.99,-250.14,-20.03
-0.23,-0.84,-1.92,38.05,-250.14,-23.94
-0.0,-0.91,-1.99,24.43,-250.14,-28.24
0.05,-0.84,-1.98,10.54,-250.14,-34.15
0.05,-0.84,-1.95,-0.08,-250.14,-39.42
-0.09,-0.75,-1.84,-6.94,-250.14,-42.94
0.1,-0.91,-1.98,-0.1,-250.14,-32.35
0.27,-0.93,-2.0,8.17,-244.69,-25.05
0.44,-0.94,-2.0,16.92,-215.85,-21.03
0.64,-0.93,-2.0,17.42,-174.56,-14.59
0.71,-0.97,-2.0,15.04,-134.27,-20.31
0.66,-0.95,-2.0,8.97,-97.12,-24.44
0.68,-1.06,-2.0,10.89,-61.5,-28.47
0.75,-0.9,-2.0,21.49,-13.95,-34.83
0.71,-1.1,-2.0,28.26,5.18,-29.36
0.72,-0.89,-2.0,29.63,43.36,-35.1
0.66,-0.82,-2.0,25.4,72.18,-40.13
0.65,-0.76,-2.0,22.27,110.02,-39.63
0.58,-0.77,-1.99,27.55,142.35,-33.61
0.51,-0.71,-1.94,30.11,171.39,-27.27
0.83,-0.75,-2.0,27.19,201.98,-26.44
0.53,-0.72,-1.93,16.16,227.88,-11.11
0.56,-0.62,-1.92,12.09,250.13,-9.86
0.44,-0.56,-1.86,-0.53,250.13,-10.6
0.12,-0.44,-1.64,-30.01,250.13,-11.18
0.15,-0.41,-1.5,-32.89,250.13,-15.55
-0.05,-0.58,-1.42,-45.41,250.13,-6.43
-0.24,-0.7,-1.18,-50.23,250.13,2.37
-0.45,-0.84,-0.91,-49.78,250.13,3.27
-0.54,-0.94,-0.64,-52.83,250.13,5.89
-0.65,-1.25,-0.43,-38.0,250.13,12.47
-0.93,-1.19,-0.09,1.42,250.13,14.41
-0.9,-0.99,0.02,17.08,250.13,24.53
-1.0,-0.81,0.21,29.02,250.13,33.15
-0.98,-0.61,0.3,-1.39,250.13,19.6
-1.02,-0.46,0.35,-52.01,250.13,4.21
-0.94,-0.35,0.36,-87.05,250.13,-20.42
-0.7,-0.84,0.23,-100.79,248.53,-13.79
-1.09,-1.72,0.68,-74.78,218.57,-0.3
-1.24,-2.0,1.05,-31.07,192.14,9.54
-1.03,-2.0,1.16,89.27,159.25,38.84
-1.15,-1.86,1.3,145.37,145.34,57.69
-0.73,-1.35,1.0,179.67,135.73,55.51
-0.67,-0.56,1.0,152.1,127.4,33.27
-0.6,-0.38,1.03,100.24,120.5,0.92
-0.55,-0.37,1.06,52.45,108.43,0.86
-0.67,-0.62,1.16,33.02,94.17,5.98
-0.6,-0.72,1.11,27.23,58.2,10.6
-0.44,-0.78,0.96,25.32,16.31,1.8
-0.23,-0.64,0.8,3.76,-3.15,0.02
-0.06,-0.68,0.64,-14.47,-12.08,-5.96
0.04,-0.76,0.52,-24.29,-17.66,-8.24
0.1,-0.84,0.41,-26.44,-20.6,-5.79
0.01,-0.81,0.44,-50.02,-40.87,-15.12
0.29,-0.88,0.18,-57.56,-41.05,-22.03
0.3,-1.13,0.1,-52.08,-39.62,-24.52
0.31,-1.23,0.06,-36.79,-34.91,-20.52
0.32,-1.29,0.02,-18.05,-27.88,-11.27
0.32,-1.21,0.02,-5.42,-23.56,-5.98
0.32,-1.19,0.0,-1.2,-21.61,-8.61
0.39,-1.07,-0.07,-2.31,-17.7,-11.56
0.42,-1.03,-0.07,-5.08,-11.06,-11.79
0.35,-1.05,-0.08,-2.67,-7.5,-8.15
0.35,-1.05,-0.08,1.11,-3.66,-1.56
0.34,-1.02,-0.06,2.37,-1.37,1.47
0.32,-0.98,-0.06,0.44,0.36,0.91
0.31,-0.99,-0.03,-1.42,0.5,0.53
0.28,-1.01,-0.01,-0.44,2.9,1.6
0.28,-1.02,-0.01,3.27,3.98,1.27
0.27,-0.97,0.01,5.19,4.6,0.24
0.26,-0.93,0.02,6.25,5.26,-0.44
0.27,-0.84,0.01,3.11,6.82,-1.61
