acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.1,-1.0,0.08,-0.76,2.79,2.66
0.12,-0.98,0.09,-1.42,2.7,1.85
0.12,-0.97,0.09,-2.53,3.05,-0.32
0.11,-0.98,0.11,-2.47,3.65,-1.22
0.09,-0.97,0.12,-1.4,3.4,-1.44
0.09,-0.97,0.12,-0.29,3.36,-0.43
0.1,-0.95,0.11,0.17,3.05,0.4
0.1,-0.95,0.1,-0.27,3.18,0.73
0.11,-0.95,0.1,-0.9,3.51,0.93
0.1,-0.96,0.11,-0.56,3.36,0.92
0.1,-0.97,0.12,0.56,3.68,1.44
0.09,-0.95,0.11,0.18,3.66,1.53
0.09,-0.96,0.11,-1.68,3.74,1.6
0.1,-0.98,0.11,-2.4,3.73,1.21
0.09,-0.99,0.12,-1.18,3.44,1.92
0.09,-0.99,0.12,0.17,2.96,2.6
0.1,-0.99,0.11,0.24,2.73,2.02
0.1,-1.0,0.11,0.29,2.47,1.44
0.11,-0.97,0.1,0.43,2.76,0.76
0.1,-0.97,0.11,0.5,2.78,1.01
0.11,-0.97,0.12,0.75,2.7,0.82
0.11,-0.95,0.11,-0.18,3.05,1.19
0.11,-0.96,0.11,-0.73,3.05,1.39
0.12,-0.95,0.1,-1.5,2.76,0.87
0.1,-0.95,0.12,-2.38,2.46,0.84
0.11,-0.98,0.12,-2.03,2.02,-0.05
0.1,-0.97,0.11,-1.82,2.18,-0.2
0.09,-0.97,0.12,-1.54,1.89,0.44
0.09,-0.97,0.12,-1.5,1.53,0.87
0.09,-0.97,0.12,-2.02,1.42,1.24
0.09,-0.98,0.13,-2.12,0.82,1.01
0.1,-0.99,0.11,-1.65,0.85,0.09
0.1,-0.99,0.13,-0.75,0.76,-0.15
0.1,-0.97,0.11,-0.31,0.69,0.15
0.1,-0.96,0.09,-1.4,0.76,0.24
0.11,-0.96,0.1,-2.89,0.63,-0.44
0.1,-0.97,0.11,-2.81,0.87,-0.27
0.1,-0.97,0.12,-1.91,1.02,-0.12
0.09,-0.97,0.12,-1.02,0.49,-0.43
0.1,-0.97,0.11,-0.34,0.37,0.52
0.1,-0.95,0.1,-0.15,0.64,1.37
0.1,-0.95,0.1,-1.19,0.46,1.11
0.11,-0.94,0.09,-2.78,0.89,0.56
0.11,-0.96,0.11,-3.91,1.15,-0.5
0.11,-0.97,0.11,-3.82,1.77,-0.41
0.11,-0.97,0.12,-3.11,1.77,-0.27
0.09,-0.97,0.12,-1.95,1.89,1.15
0.09,-0.98,0.1,-0.99,1.85,1.79
0.09,-0.97,0.12,-0.53,1.73,2.46
0.08,-0.99,0.12,0.11,1.34,2.49
0.09,-0.98,0.12,0.23,0.96,1.73
0.1,-0.98,0.11,-0.21,0.98,1.31
0.11,-0.97,0.1,-1.31,0.95,-0.24
0.11,-0.95,0.1,-2.27,1.02,-1.48
0.11,-0.97,0.12,-1.62,1.21,-1.27
0.11,-0.95,0.11,-1.21,1.36,-0.72
0.11,-0.94,0.11,-1.74,1.22,0.35
0.1,-0.95,0.11,-2.17,1.45,0.75
0.11,-0.97,0.11,-1.97,1.92,0.64
0.12,-0.97,0.11,-2.73,2.21,-0.98
0.1,-0.97,0.1,-3.59,1.74,-2.73
0.1,-0.98,0.12,-3.1,2.38,-2.9
0.09,-0.96,0.11,-2.49,2.64,-2.14
0.09,-0.94,0.11,-2.73,2.32,-0.73
0.09,-0.95,0.11,-2.78,2.14,0.12
0.09,-0.96,0.12,-3.47,1.76,-0.08
0.09,-0.98,0.12,-2.81,1.44,0.47
0.11,-0.98,0.12,-0.63,1.51,0.76
0.1,-0.97,0.12,0.37,1.74,0.63
0.1,-0.96,0.11,0.12,1.48,0.06
0.1,-0.95,0.1,-1.42,1.19,-0.9
0.09,-0.94,0.11,-3.48,0.49,-1.59
0.09,-0.96,0.12,-3.5,0.11,-0.5
0.09,-0.98,0.12,-1.05,0.2,1.59
0.1,-0.97,0.12,0.53,0.4,2.29
0.12,-0.96,0.09,-0.49,1.05,1.4
0.12,-0.96,0.09,-2.84,1.36,-1.28
0.11,-0.96,0.1,-4.46,1.82,-2.64
0.1,-0.98,0.11,-3.22,1.91,-1.85
0.11,-0.98,0.11,-1.28,2.31,0.18
0.12,-0.97,0.1,-0.81,2.63,-0.05
0.11,-0.97,0.1,-1.56,2.75,-0.95
0.1,-0.96,0.1,-2.05,3.34,-0.69
0.09,-0.96,0.12,-1.48,2.76,0.09
0.1,-0.97,0.12,-0.85,3.3,0.99
0.11,-0.97,0.12,-0.53,2.78,0.14
0.1,-0.96,0.12,-0.73,2.56,-0.6
0.09,-0.95,0.11,-0.93,2.43,0.0
0.09,-0.94,0.11,-0.95,2.02,0.63
0.1,-0.95,0.12,-1.76,1.86,0.78
0.1,-0.96,0.11,-2.63,1.91,0.43
0.1,-0.97,0.12,-2.5,1.63,-0.47
0.11,-0.97,0.12,-1.92,1.69,-0.34
0.11,-0.96,0.11,-1.02,2.14,0.11
0.11,-0.94,0.1,-1.13,1.95,0.2
0.12,-0.94,0.1,-2.72,1.97,-0.4
0.12,-0.96,0.1,-3.94,2.27,-1.86
0.12,-0.97,0.11,-3.56,3.3,-1.95
0.11,-0.97,0.13,-2.06,3.24,-1.77
0.12,-0.95,0.12,-1.21,3.4,-1.33
