acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.12,-1.0,-0.03,-0.99,2.2,0.95
0.12,-0.97,-0.05,-0.44,2.66,2.05
0.12,-0.96,-0.04,-3.31,2.9,0.44
0.12,-0.99,-0.03,-4.75,2.73,-1.0
0.12,-1.0,-0.03,-3.61,2.78,-1.12
0.12,-1.0,-0.02,-1.76,2.74,-0.08
0.11,-0.98,-0.02,-0.27,2.76,1.47
0.12,-0.96,-0.03,-1.47,2.45,1.33
0.11,-0.96,-0.02,-3.34,2.45,1.37
0.11,-1.0,-0.02,-3.17,2.47,1.54
0.12,-1.01,-0.02,-2.05,2.48,0.83
0.12,-0.99,-0.02,-1.48,2.23,0.59
0.11,-0.99,-0.02,-2.04,2.47,0.27
0.11,-0.99,-0.02,-2.22,2.18,0.58
0.11,-1.0,-0.02,-1.76,1.66,1.05
0.13,-1.0,-0.02,-0.73,2.1,0.89
0.12,-0.99,-0.03,-1.73,2.01,-0.15
0.11,-1.0,-0.03,-2.41,1.71,-0.76
0.11,-1.01,-0.02,-1.11,1.49,-0.68
0.11,-0.99,-0.01,0.56,1.88,0.48
0.11,-0.97,-0.02,1.23,1.53,1.17
0.12,-0.96,-0.02,0.58,1.42,1.02
0.12,-0.95,-0.03,-0.13,1.43,1.59
0.13,-0.96,-0.03,-0.44,1.21,1.68
0.12,-0.96,-0.03,-1.27,0.54,2.32
0.13,-0.97,-0.04,-1.97,0.79,2.31
0.13,-0.97,-0.03,-2.2,0.89,2.09
0.12,-0.96,-0.03,-2.5,0.98,2.5
0.12,-0.96,-0.04,-3.89,1.22,2.19
0.12,-0.98,-0.03,-4.82,1.3,2.21
0.12,-1.01,-0.02,-3.28,1.05,2.53
0.11,-1.0,-0.03,-1.89,0.67,2.85
0.12,-0.99,-0.04,-3.07,0.76,1.92
0.12,-1.0,-0.04,-4.73,0.86,0.77
0.11,-1.01,-0.03,-4.32,1.06,0.19
0.11,-1.03,-0.02,-2.4,0.68,0.82
0.11,-1.03,-0.03,0.11,0.81,2.23
0.12,-1.0,-0.04,0.82,0.79,2.35
0.11,-0.99,-0.03,-1.03,0.77,0.74
0.13,-0.99,-0.04,-3.68,0.88,-1.11
0.12,-1.01,-0.03,-3.87,1.29,-1.08
0.11,-1.01,-0.01,-2.34,0.97,-0.81
0.11,-1.01,-0.04,-1.28,0.89,-0.61
0.12,-0.99,-0.03,-1.42,1.15,-1.24
0.12,-0.98,-0.03,-3.32,0.94,-1.38
0.11,-0.98,-0.02,-3.43,1.0,-1.18
0.11,-0.99,-0.03,-2.18,1.08,-0.22
0.12,-0.99,-0.04,-1.64,0.53,0.6
0.12,-0.98,-0.04,-1.13,0.51,0.2
0.12,-0.98,-0.05,-1.7,0.53,-0.5
0.12,-0.98,-0.04,-1.72,0.86,-0.22
0.12,-0.96,-0.04,-1.34,1.18,0.56
0.12,-0.95,-0.04,-2.55,0.99,0.87
0.13,-0.96,-0.04,-4.53,1.46,-0.1
0.12,-0.97,-0.04,-5.03,1.8,-0.4
0.11,-0.98,-0.03,-4.27,1.3,-0.01
0.09,-0.99,-0.02,-3.38,0.52,1.11
0.11,-0.99,-0.03,-2.44,0.26,2.01
0.11,-1.0,-0.03,-2.53,0.3,1.98
0.12,-1.01,-0.04,-3.24,0.56,0.59
0.12,-1.01,-0.04,-3.02,1.35,-0.33
0.12,-1.0,-0.04,-3.42,1.54,-1.0
0.11,-0.99,-0.04,-3.69,1.55,-0.9
0.12,-0.98,-0.03,-2.97,1.35,0.34
0.1,-0.98,-0.02,-2.5,1.08,1.02
0.11,-0.98,-0.02,-3.12,1.04,0.95
0.12,-0.99,-0.03,-3.12,0.85,0.6
0.11,-1.0,-0.02,-2.62,1.11,0.29
0.11,-1.01,-0.03,-1.41,0.47,0.43
0.11,-1.01,-0.03,0.48,0.83,0.85
0.13,-0.99,-0.05,0.31,1.08,0.32
0.13,-0.98,-0.04,-0.64,1.27,-0.47
0.12,-0.97,-0.03,-1.07,1.39,-0.37
0.12,-0.98,-0.03,-0.92,1.29,0.51
0.12,-0.98,-0.03,-0.93,1.29,1.2
0.12,-0.97,-0.03,-2.1,1.13,1.62
0.12,-0.98,-0.04,-3.62,0.63,0.89
0.11,-1.0,-0.03,-3.15,0.52,1.24
0.11,-1.01,-0.02,-1.25,0.58,1.62
0.12,-1.01,-0.03,-0.21,0.22,1.89
0.12,-0.99,-0.03,-0.84,0.11,0.74
0.12,-1.0,-0.04,-1.55,0.35,-0.15
0.13,-1.0,-0.04,-1.45,0.62,-0.1
0.13,-1.01,-0.03,-0.35,0.58,0.72
0.13,-1.0,-0.03,0.6,0.38,0.99
0.12,-0.99,-0.04,0.06,0.6,0.56
0.13,-0.96,-0.05,-1.17,0.98,-0.18
0.12,-0.98,-0.05,-2.21,1.08,-0.57
0.11,-0.98,-0.04,-2.66,0.85,-0.66
0.11,-1.0,-0.03,-2.31,0.93,-0.67
0.12,-0.99,-0.04,-1.41,1.22,-0.45
0.11,-0.97,-0.03,-0.6,1.68,0.63
0.1,-0.97,-0.03,-0.48,1.12,1.24
0.12,-0.98,-0.02,-1.18,0.71,1.3
0.12,-0.97,-0.03,-2.7,0.91,0.4
0.12,-0.99,-0.03,-2.99,0.84,-0.41
0.11,-0.99,-0.03,-2.55,1.05,-0.64
0.11,-0.99,-0.03,-1.82,1.11,-0.54
0.11,-0.97,-0.04,-1.6,0.96,-0.09
0.12,-0.98,-0.04,-1.55,0.96,0.82
