acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.01,-0.84,-0.04,-19.86,-9.69,25.88
0.01,-0.88,-0.04,-26.5,-14.14,30.9
-0.0,-0.98,-0.04,-29.11,-19.89,35.77
0.03,-1.11,-0.02,-29.47,-26.5,35.31
0.13,-1.29,-0.03,-28.11,-28.03,28.08
0.16,-1.57,0.02,-20.26,-30.23,12.02
0.22,-1.78,0.02,-7.01,-29.62,-4.46
0.3,-1.95,-0.06,14.09,-24.08,-14.4
0.32,-1.93,-0.16,29.15,-15.57,-18.08
0.29,-2.0,-0.16,38.63,-10.11,-22.76
0.36,-2.19,-0.13,52.7,-5.15,-31.79
0.42,-2.36,-0.09,76.56,3.31,-44.84
0.47,-2.42,-0.07,109.33,15.97,-58.31
0.41,-2.29,-0.09,141.25,28.53,-69.74
0.35,-2.04,-0.1,163.91,39.1,-77.31
0.22,-1.81,-0.12,180.18,42.18,-85.98
0.17,-1.55,-0.13,184.63,41.25,-90.69
0.16,-1.37,-0.16,182.96,39.71,-97.71
0.13,-1.16,-0.16,168.93,37.11,-106.53
0.05,-1.2,-0.06,155.34,33.25,-108.52
-0.05,-1.41,0.1,160.4,23.98,-110.43
0.08,-1.48,0.1,179.25,24.15,-104.96
0.13,-1.43,0.07,202.92,31.11,-100.38
0.1,-1.18,0.02,217.48,36.03,-97.25
0.09,-0.98,-0.04,222.17,38.78,-94.63
0.06,-0.86,-0.01,222.2,38.24,-94.37
0.12,-0.76,0.0,218.21,38.06,-95.28
0.14,-0.65,0.0,214.46,40.85,-96.5
0.11,-0.45,0.05,200.99,41.63,-104.44
0.01,-0.39,0.11,187.34,41.28,-105.02
-0.01,-0.33,0.19,182.4,33.22,-105.91
-0.05,-0.28,0.2,180.89,22.75,-99.42
0.01,-0.19,0.2,173.77,13.86,-89.25
0.19,-0.2,0.18,168.99,15.5,-76.43
0.31,-0.14,0.16,167.01,24.73,-63.53
0.33,-0.03,0.16,163.74,34.41,-50.09
0.27,0.15,0.2,154.98,39.69,-38.98
0.18,0.29,0.25,137.37,36.75,-34.63
0.15,0.41,0.29,112.84,28.63,-37.1
0.13,0.48,0.32,82.06,17.4,-42.75
0.15,0.49,0.37,49.86,6.55,-45.53
0.18,0.36,0.41,26.78,-1.51,-43.63
0.25,0.2,0.45,15.68,-4.93,-36.23
0.31,0.12,0.46,13.21,-2.09,-25.21
0.34,0.13,0.47,12.0,2.81,-11.83
0.32,0.14,0.46,10.7,7.91,3.04
0.29,0.17,0.49,6.73,10.12,16.37
0.27,0.19,0.49,1.8,10.87,28.41
0.24,0.26,0.47,-9.89,8.34,33.15
0.2,0.35,0.45,-31.54,0.23,28.85
0.22,0.33,0.44,-53.42,-5.85,28.63
0.21,0.21,0.46,-66.08,-11.15,35.66
0.24,0.13,0.45,-73.6,-12.96,46.4
0.29,0.03,0.46,-80.43,-13.22,53.1
0.36,-0.07,0.45,-81.91,-8.7,63.4
0.38,-0.16,0.45,-78.17,-1.91,75.89
0.38,-0.17,0.43,-73.31,3.82,86.2
0.38,-0.11,0.4,-72.44,8.69,93.05
0.35,0.01,0.35,-80.61,12.06,95.24
0.29,0.12,0.3,-99.15,12.35,90.81
0.21,0.21,0.26,-125.42,8.69,85.05
0.14,0.24,0.23,-151.22,4.05,86.52
0.04,0.21,0.21,-174.31,-1.97,99.77
-0.07,-0.01,0.24,-191.5,-14.5,113.47
-0.03,-0.31,0.24,-196.61,-22.32,130.72
0.06,-0.6,0.24,-189.5,-19.5,151.34
0.14,-0.76,0.23,-178.21,-11.79,160.15
0.22,-0.78,0.2,-170.82,-2.09,152.87
0.2,-0.73,0.19,-170.26,7.8,138.32
0.06,-0.6,0.18,-176.11,7.45,119.18
-0.09,-0.46,0.12,-188.08,0.84,108.32
-0.19,-0.41,0.03,-209.36,-10.55,110.92
-0.2,-0.62,-0.03,-225.79,-20.03,123.21
-0.12,-0.87,-0.07,-228.29,-24.98,139.68
-0.02,-1.12,-0.1,-221.68,-19.57,156.24
-0.01,-1.37,-0.04,-208.02,-14.43,153.13
-0.02,-1.57,0.06,-190.6,-18.31,128.34
0.06,-1.74,0.14,-163.89,-17.15,106.75
0.05,-1.74,0.12,-126.53,-12.23,94.38
-0.02,-1.44,0.03,-105.54,-6.95,93.16
-0.13,-1.21,-0.01,-105.94,-6.15,93.65
-0.15,-1.09,-0.08,-115.94,-6.38,96.69
-0.15,-1.08,-0.11,-129.6,-5.51,101.68
-0.18,-1.25,-0.08,-137.33,-9.3,100.53
-0.17,-1.59,0.0,-131.73,-17.57,91.92
0.03,-1.91,0.03,-108.29,-18.23,88.93
0.21,-2.07,-0.02,-69.04,-6.41,89.31
0.19,-1.88,-0.08,-43.47,5.37,76.93
0.08,-1.66,-0.09,-43.48,10.79,55.19
0.0,-1.6,-0.07,-48.23,11.45,36.44
-0.09,-1.58,-0.03,-51.62,12.21,28.75
-0.15,-1.67,0.06,-47.57,9.1,28.38
-0.11,-1.75,0.08,-32.92,7.86,32.35
-0.04,-1.75,0.11,-14.02,9.08,34.81
-0.01,-1.67,0.09,2.82,10.6,33.59
0.03,-1.53,0.05,13.76,12.43,29.31
0.03,-1.39,0.03,16.98,12.34,21.28
0.03,-1.31,0.0,15.95,11.82,13.07
0.03,-1.25,0.0,14.11,12.37,8.21
0.01,-1.2,0.01,12.85,12.95,7.25
