acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.01,-1.16,-0.09,31.45,-3.85,0.76
-0.0,-1.16,-0.08,47.74,-6.15,4.17
0.01,-1.2,-0.06,64.38,-7.74,8.37
0.04,-1.31,-0.05,87.95,-9.25,10.44
0.01,-1.45,-0.0,121.71,-13.51,14.5
-0.07,-1.59,0.07,172.37,-23.3,24.24
-0.12,-1.73,0.07,235.59,-36.5,42.38
-0.14,-1.9,0.07,312.87,-54.5,58.46
-0.04,-2.14,-0.1,404.03,-69.5,62.69
-0.01,-2.26,-0.23,500.26,-77.66,75.71
0.03,-2.25,-0.42,500.26,-73.34,91.47
-0.01,-2.28,-0.61,500.26,-77.54,103.89
0.11,-2.08,-0.73,500.26,-68.69,123.94
0.11,-2.15,-0.91,500.26,-63.08,151.22
0.33,-2.22,-1.33,500.26,-48.69,175.95
0.52,-1.9,-1.81,500.26,-16.56,186.64
0.66,-1.3,-2.14,500.26,19.53,192.4
0.61,-0.86,-2.08,500.26,43.51,170.18
0.35,-0.66,-1.78,500.26,49.54,122.76
0.12,-0.57,-1.64,500.26,45.25,78.03
-0.06,-0.43,-1.47,500.26,39.5,65.56
0.04,-0.31,-1.65,500.26,44.75,66.43
0.07,0.01,-1.74,500.26,55.77,64.24
-0.04,0.46,-1.83,500.26,55.07,53.57
-0.14,1.13,-1.82,500.26,46.89,6.61
-0.53,1.78,-1.63,500.26,21.62,-27.6
-0.71,2.54,-1.48,500.26,-10.21,-58.82
-0.72,3.01,-1.43,441.31,-39.39,-72.78
-0.59,3.36,-1.42,314.31,-55.94,-68.14
-0.35,3.56,-1.37,197.25,-48.92,-37.27
-0.1,3.27,-1.29,106.17,-30.31,12.58
0.08,2.85,-1.13,51.53,2.66,60.76
0.08,2.32,-0.8,31.39,34.18,99.08
0.09,2.15,-0.82,44.11,56.2,107.85
-0.16,1.85,-0.15,12.52,55.02,83.37
-0.27,1.87,0.15,-27.53,39.24,55.3
-0.19,1.75,0.25,-51.59,33.47,44.85
-0.08,1.74,0.25,-71.05,31.45,44.89
0.08,1.82,0.17,-97.74,32.03,30.89
0.18,2.11,0.01,-141.57,40.9,21.83
0.19,2.3,-0.11,-199.56,52.56,15.34
0.2,2.5,-0.25,-280.14,67.77,3.63
0.16,2.45,-0.38,-374.67,78.9,-27.1
-0.06,2.36,-0.47,-476.67,78.92,-74.84
-0.16,2.47,-0.57,-500.27,70.02,-126.69
-0.33,2.51,-0.67,-500.27,41.13,-196.23
-0.42,2.52,-0.87,-500.27,-7.16,-282.9
-0.3,2.34,-1.18,-500.27,-61.63,-359.92
-0.16,1.74,-1.56,-500.27,-124.79,-443.28
0.13,1.24,-1.87,-500.27,-190.58,-500.27
0.42,0.45,-2.11,-500.27,-245.04,-500.27
0.77,-0.29,-2.18,-500.27,-268.53,-497.13
1.0,-0.81,-2.06,-500.27,-265.79,-447.76
1.22,-0.74,-1.91,-500.27,-213.8,-368.87
1.12,-0.53,-1.73,-500.27,-149.65,-264.17
0.8,-0.41,-1.53,-500.27,-94.66,-143.53
0.58,-0.63,-1.35,-500.27,-52.23,-39.13
0.3,-0.93,-1.11,-500.27,-38.49,30.63
0.08,-1.39,-0.85,-500.27,-46.21,67.34
-0.02,-1.44,-0.67,-459.82,-42.35,85.62
-0.1,-1.4,-0.43,-416.98,-23.05,84.69
-0.23,-1.61,-0.25,-386.58,-36.38,55.13
-0.17,-1.84,-0.19,-359.98,-63.36,23.76
0.05,-2.02,-0.26,-299.91,-65.79,13.13
0.01,-1.94,-0.27,-206.9,-58.27,17.82
0.01,-1.73,-0.34,-146.76,-58.58,11.5
0.06,-1.34,-0.46,-116.35,-53.86,5.4
0.09,-1.16,-0.57,-96.58,-46.61,9.36
0.2,-1.13,-0.65,-74.96,-34.75,12.38
0.21,-1.11,-0.66,-62.43,-24.14,9.13
0.19,-1.17,-0.62,-53.31,-14.34,5.53
0.15,-1.2,-0.59,-44.23,-5.92,0.21
0.09,-1.17,-0.51,-41.71,-0.12,-7.54
0.04,-1.23,-0.45,-31.8,0.52,-13.63
-0.03,-1.24,-0.39,-18.23,-1.4,-17.59
-0.04,-1.21,-0.36,-5.89,-2.92,-16.38
-0.04,-1.22,-0.35,9.4,-4.06,-10.58
0.02,-1.17,-0.39,26.27,-3.11,-5.51
0.04,-1.05,-0.38,33.07,2.14,-2.75
0.04,-0.99,-0.38,38.26,6.31,0.93
0.05,-0.99,-0.36,43.98,9.51,4.4
0.01,-0.92,-0.31,39.85,12.89,4.38
-0.02,-0.98,-0.24,38.18,14.02,2.09
-0.06,-1.02,-0.19,41.66,13.66,3.07
-0.06,-1.04,-0.17,47.04,12.31,4.58
-0.04,-1.03,-0.17,49.85,11.1,3.07
-0.06,-1.01,-0.15,50.46,9.98,0.37
-0.07,-0.95,-0.15,45.63,7.76,-0.52
-0.01,-0.92,-0.17,39.07,7.89,-2.26
-0.02,-0.85,-0.19,28.41,10.2,-3.65
-0.03,-0.83,-0.2,16.44,10.23,-1.92
-0.06,-0.83,-0.19,7.95,9.42,3.77
-0.09,-0.87,-0.19,3.89,6.58,8.95
-0.06,-0.92,-0.18,0.58,4.81,12.95
-0.03,-1.03,-0.17,1.69,3.05,13.62
-0.03,-1.1,-0.16,7.05,1.76,12.66
-0.02,-1.11,-0.18,11.45,0.99,8.34
-0.02,-1.11,-0.19,15.13,0.61,4.29
-0.03,-1.08,-0.18,19.76,1.15,3.45
-0.06,-1.05,-0.17,23.65,0.05,3.66
