acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.21,-1.2,-0.01,79.19,4.22,-27.0
0.19,-1.26,-0.01,97.18,4.8,-22.62
0.17,-1.24,0.0,116.97,4.21,-18.37
0.18,-1.18,-0.02,136.51,3.95,-16.0
0.19,-1.12,-0.03,151.17,5.18,-15.22
0.23,-1.06,-0.1,163.55,8.52,-16.8
0.2,-1.0,-0.1,172.56,10.89,-27.68
0.2,-0.91,-0.13,178.02,17.19,-34.53
0.2,-0.91,-0.16,184.73,23.26,-44.05
0.18,-0.9,-0.21,196.47,31.01,-50.6
0.16,-0.87,-0.27,212.27,39.2,-55.47
0.09,-0.81,-0.32,228.23,48.27,-59.49
0.05,-0.74,-0.39,244.68,58.66,-57.15
0.01,-0.67,-0.47,250.13,66.47,-44.38
0.05,-0.48,-0.59,250.13,77.36,-22.69
0.08,-0.28,-0.66,250.13,88.26,0.38
0.11,-0.03,-0.69,250.13,99.15,20.25
0.1,0.11,-0.72,250.13,109.44,30.56
0.02,0.12,-0.67,250.13,115.77,42.6
-0.0,0.04,-0.66,250.13,120.37,46.76
-0.01,0.16,-0.62,250.13,117.72,41.47
-0.16,-0.05,-0.57,250.13,114.82,25.62
-0.13,-0.01,-0.64,250.13,117.81,21.18
-0.36,0.28,-0.4,250.13,102.66,35.2
-0.29,0.34,-0.35,250.13,115.37,40.79
-0.05,0.41,-0.19,250.13,118.04,48.1
0.08,0.37,-0.01,250.13,134.27,58.4
0.2,0.36,0.13,241.51,162.35,55.21
0.13,0.37,0.32,222.47,198.49,41.79
-0.08,0.49,0.64,195.58,227.73,20.47
-0.47,0.45,1.04,174.12,240.08,15.96
-0.86,0.35,1.55,169.46,228.95,17.4
-0.89,0.45,1.82,163.06,216.4,24.39
-0.89,0.44,1.95,161.18,203.28,27.54
-0.88,0.66,2.0,153.09,181.12,29.75
-0.58,0.76,1.94,147.05,154.38,36.79
-0.75,0.59,2.0,134.65,133.79,27.31
-0.58,0.81,2.0,114.5,112.21,15.21
-0.42,1.1,2.0,50.5,125.75,-8.47
-0.76,0.75,2.0,11.91,122.79,-1.06
-0.72,0.7,2.0,15.2,78.42,22.66
-0.94,0.37,2.0,3.31,57.76,25.15
-0.84,0.43,2.0,-16.91,24.27,16.89
-1.0,0.32,2.0,-44.05,9.51,8.14
-1.05,0.28,2.0,-57.94,-22.65,3.45
-0.95,0.33,2.0,-83.34,-51.1,2.3
-0.82,0.21,2.0,-104.85,-76.74,-5.53
-0.67,0.1,2.0,-122.26,-94.73,-12.98
-0.6,0.04,1.9,-135.56,-107.4,-21.67
-0.62,0.1,1.79,-154.15,-122.68,-33.56
-0.52,0.1,1.63,-169.53,-134.0,-35.48
-0.48,0.04,1.5,-179.93,-139.83,-34.76
-0.46,0.07,1.39,-191.11,-142.23,-33.34
-0.47,0.08,1.28,-202.68,-146.28,-30.5
-0.48,0.04,1.14,-211.95,-152.39,-29.98
-0.47,0.09,1.01,-224.53,-155.22,-33.27
-0.64,0.12,0.97,-241.07,-173.9,-43.62
-0.31,0.36,0.67,-250.14,-166.54,-59.33
-0.71,0.46,0.73,-250.14,-197.06,-85.95
-0.63,0.81,0.46,-250.14,-207.12,-110.24
-0.65,0.91,0.28,-250.14,-228.31,-141.55
-0.39,0.77,-0.06,-250.14,-239.54,-151.48
-0.08,0.53,-0.37,-250.14,-234.33,-143.11
0.19,0.4,-0.6,-250.14,-216.22,-125.66
0.28,0.34,-0.71,-250.14,-194.39,-111.29
0.3,0.32,-0.75,-250.14,-174.19,-92.79
0.24,-0.0,-0.77,-250.14,-156.58,-59.87
0.2,-0.47,-0.68,-250.14,-137.34,-26.35
0.14,-0.7,-0.57,-250.14,-123.48,-12.42
0.15,-0.62,-0.51,-250.14,-112.46,-4.85
0.24,-0.71,-0.52,-250.14,-99.59,-3.55
0.27,-0.78,-0.48,-250.14,-88.31,-2.93
0.26,-0.86,-0.46,-218.16,-77.26,-7.77
0.12,-0.86,-0.4,-181.12,-75.65,-5.8
0.14,-0.9,-0.4,-140.66,-72.95,10.6
0.21,-0.85,-0.47,-104.34,-64.86,29.48
0.27,-0.79,-0.52,-83.11,-53.45,40.84
0.28,-0.79,-0.53,-72.85,-42.11,43.61
0.3,-0.91,-0.53,-68.79,-29.86,38.14
0.26,-1.09,-0.47,-60.97,-19.08,32.31
0.21,-1.27,-0.39,-43.03,-12.83,29.82
0.21,-1.22,-0.37,-27.9,-7.58,27.22
0.23,-1.12,-0.37,-22.73,-1.69,19.59
0.27,-1.16,-0.37,-18.93,3.9,16.73
0.32,-1.23,-0.35,-5.45,11.67,22.18
0.31,-1.18,-0.31,8.4,18.32,26.44
0.28,-1.01,-0.27,7.73,21.8,24.47
0.3,-0.99,-0.24,4.73,24.85,22.71
0.29,-1.03,-0.2,5.72,28.35,21.99
0.25,-1.05,-0.17,6.81,30.19,20.28
0.19,-1.07,-0.12,9.07,29.05,18.18
0.17,-1.1,-0.11,12.76,26.71,17.98
0.2,-1.09,-0.11,17.67,25.23,17.76
0.19,-0.96,-0.1,14.53,25.77,16.73
0.16,-0.94,-0.08,6.94,24.13,14.12
0.17,-0.99,-0.07,1.15,22.85,10.99
0.14,-0.99,-0.05,-2.59,20.1,8.73
0.11,-1.06,-0.05,-2.44,15.53,8.38
0.15,-1.12,-0.07,3.91,11.31,10.32
0.17,-1.06,-0.1,7.74,9.46,8.61
