acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.09,-0.96,0.12,-0.12,1.36,0.26
0.09,-0.95,0.1,-0.61,0.66,0.56
0.1,-0.97,0.11,-0.99,0.5,0.08
0.11,-0.97,0.09,-1.13,0.53,-1.22
0.11,-0.96,0.1,-2.64,0.81,-2.08
0.11,-0.95,0.09,-4.18,0.63,-2.81
0.09,-0.95,0.12,-3.77,0.73,-1.34
0.1,-0.96,0.11,-2.29,0.26,0.31
0.1,-0.97,0.11,-1.1,-0.14,1.27
0.12,-0.96,0.1,-0.81,0.12,1.98
0.12,-0.97,0.09,-1.53,0.12,0.87
0.12,-0.96,0.09,-3.15,1.01,0.43
0.11,-0.98,0.1,-3.4,1.31,-0.08
0.1,-0.99,0.09,-1.92,1.37,0.53
0.1,-0.98,0.1,-0.82,1.48,1.27
0.1,-0.97,0.1,-1.15,1.4,0.41
0.11,-0.97,0.1,-2.78,0.73,-1.39
0.1,-0.97,0.1,-2.82,1.01,-1.79
0.09,-0.98,0.11,-1.56,0.52,-1.76
0.1,-0.97,0.1,0.14,0.0,-1.28
0.1,-0.95,0.09,0.17,0.18,0.17
0.11,-0.94,0.08,-0.49,0.08,0.38
0.12,-0.94,0.08,-2.08,-0.03,-0.63
0.14,-0.94,0.07,-4.21,0.78,-1.95
0.11,-0.95,0.1,-4.67,1.07,-1.94
0.1,-0.95,0.1,-3.13,1.3,0.4
0.1,-0.97,0.1,-1.3,1.39,2.79
0.11,-0.99,0.09,-0.38,1.76,3.65
0.11,-0.98,0.09,-1.69,1.86,2.43
0.09,-1.0,0.1,-3.22,1.05,0.52
0.1,-1.02,0.11,-1.86,0.81,-0.44
0.1,-1.01,0.12,0.05,0.37,0.29
0.11,-0.99,0.1,1.48,0.49,1.01
0.12,-0.97,0.08,0.15,0.0,-0.84
0.12,-0.96,0.09,-2.24,0.17,-2.18
0.12,-0.98,0.1,-3.05,0.35,-2.98
0.11,-0.98,0.1,-1.69,1.04,-2.56
0.11,-0.97,0.1,-0.9,0.81,-2.2
0.11,-0.98,0.11,-1.31,0.76,-1.68
0.13,-0.98,0.08,-1.95,1.36,-2.61
0.11,-0.98,0.1,-2.69,1.73,-2.69
0.1,-1.0,0.12,-1.54,0.98,-3.13
0.11,-0.98,0.1,0.58,1.59,-2.29
0.1,-0.96,0.09,0.61,1.71,-2.43
0.11,-0.95,0.09,-0.02,1.73,-2.46
0.13,-0.95,0.08,-0.67,2.26,-2.41
0.11,-0.93,0.1,-1.77,2.6,-2.05
0.1,-0.94,0.1,-1.53,1.65,-1.05
0.11,-0.94,0.1,0.23,1.62,0.93
0.12,-0.94,0.09,0.14,1.85,1.16
0.12,-0.93,0.09,-2.4,1.85,0.38
0.12,-0.96,0.11,-3.82,1.63,-1.02
0.12,-0.97,0.13,-2.47,1.68,-1.3
0.1,-0.96,0.12,-0.67,1.6,0.24
0.09,-0.94,0.11,-0.08,1.16,2.4
0.09,-0.94,0.09,-0.92,0.66,3.28
0.09,-0.94,0.1,-2.61,0.43,2.52
0.11,-0.97,0.09,-4.05,0.31,0.67
0.1,-0.99,0.11,-3.82,0.43,-0.2
0.1,-0.99,0.12,-2.18,0.56,0.02
0.09,-0.98,0.12,-0.73,-0.17,0.73
0.11,-0.97,0.09,-0.47,-0.27,1.4
0.13,-0.97,0.08,-0.95,0.34,1.08
0.12,-0.96,0.08,-1.95,1.27,1.11
0.12,-0.97,0.1,-1.98,1.01,1.57
0.11,-0.98,0.11,-0.69,0.9,2.58
0.12,-0.97,0.11,0.06,0.7,3.1
0.12,-0.97,0.09,-1.05,0.15,2.23
0.13,-0.97,0.09,-2.5,0.32,0.82
0.13,-0.99,0.09,-2.34,0.46,-0.15
0.12,-1.0,0.1,-0.98,0.92,-0.31
0.12,-0.98,0.09,-0.56,1.27,-0.61
0.12,-0.96,0.09,-2.03,1.31,-1.68
0.12,-0.96,0.09,-2.9,1.18,-2.0
0.12,-0.99,0.11,-1.63,1.33,-1.27
0.1,-0.97,0.11,0.43,1.15,-0.35
0.1,-0.95,0.11,0.67,0.81,1.07
0.11,-0.96,0.08,0.09,0.49,0.98
0.12,-0.95,0.09,-1.71,0.67,0.41
0.12,-0.96,0.11,-2.67,0.67,-0.26
0.1,-0.99,0.12,-1.33,1.04,-0.09
0.1,-0.99,0.11,0.64,0.2,-0.87
0.1,-0.96,0.1,1.34,0.47,-0.69
0.1,-0.95,0.09,1.27,0.78,0.02
0.1,-0.93,0.1,0.9,0.99,1.69
0.1,-0.92,0.1,-0.21,-0.31,0.92
0.11,-0.92,0.08,-2.32,-0.37,1.44
0.12,-0.95,0.08,-3.34,0.43,1.53
0.12,-0.97,0.09,-4.4,0.7,0.38
0.11,-0.99,0.09,-3.83,1.37,-0.09
0.1,-0.99,0.11,-2.14,1.08,0.66
0.09,-0.98,0.11,-0.64,0.58,1.51
0.11,-0.98,0.1,0.02,0.37,1.91
0.11,-0.97,0.11,-0.12,0.58,1.8
0.11,-0.96,0.1,-0.99,0.02,0.6
0.11,-0.97,0.11,-2.0,0.27,-0.11
0.1,-0.98,0.11,-1.08,0.15,0.47
0.1,-0.96,0.12,-0.09,-0.11,1.05
0.12,-0.98,0.1,0.21,-0.56,0.82
0.13,-0.96,0.08,-0.56,0.47,0.18
