acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.14,-0.89,0.18,-20.11,2.53,21.85
0.15,-0.96,0.19,-20.06,6.0,23.15
0.01,-0.96,0.28,-22.58,3.37,21.08
0.1,-1.0,0.25,-26.81,-0.81,15.83
0.18,-1.11,0.2,-25.16,-2.31,13.6
0.16,-1.17,0.19,-19.63,-1.6,14.34
0.14,-1.19,0.21,-17.66,-0.58,15.01
0.15,-1.24,0.18,-17.15,-1.19,12.55
0.17,-1.31,0.2,-20.0,-3.04,4.32
0.19,-1.44,0.22,-20.27,-4.95,-4.56
0.23,-1.58,0.24,-13.02,-4.5,-11.92
0.21,-1.7,0.28,-4.0,-6.44,-22.98
0.26,-1.73,0.26,4.58,-6.92,-32.5
0.25,-1.76,0.28,12.95,-4.84,-41.34
0.25,-1.75,0.28,18.47,-5.6,-51.19
0.23,-1.75,0.28,18.27,-4.92,-61.83
0.18,-1.81,0.33,20.81,-7.47,-74.38
0.12,-1.88,0.37,27.51,-12.53,-82.11
0.19,-1.94,0.33,39.51,-12.35,-90.89
0.18,-1.93,0.34,49.92,-12.38,-102.32
0.2,-1.91,0.34,55.91,-11.98,-118.03
0.21,-1.84,0.33,64.99,-11.36,-135.42
0.19,-1.7,0.29,74.84,-10.99,-150.18
0.15,-1.52,0.28,82.7,-11.45,-160.78
0.1,-1.31,0.23,88.7,-12.31,-165.97
0.05,-1.08,0.21,84.92,-16.23,-165.74
0.07,-0.97,0.21,78.61,-21.05,-166.9
0.03,-0.9,0.2,70.96,-25.94,-166.9
0.13,-0.98,0.2,70.14,-25.18,-166.27
0.09,-0.97,0.21,71.07,-25.21,-170.08
0.1,-0.99,0.22,68.09,-25.28,-174.27
0.12,-1.04,0.22,72.9,-23.57,-180.15
0.1,-0.99,0.19,80.49,-22.85,-186.09
0.11,-0.9,0.18,85.45,-22.7,-191.51
0.07,-0.69,0.09,87.48,-22.99,-193.98
0.06,-0.56,0.1,79.57,-23.69,-194.32
0.11,-0.51,0.1,76.06,-24.4,-192.63
0.17,-0.46,0.07,78.46,-24.38,-185.8
0.23,-0.35,0.01,86.23,-20.89,-176.67
0.24,-0.18,-0.01,88.15,-16.69,-166.53
0.25,-0.03,-0.01,82.98,-16.79,-160.92
0.31,0.09,-0.08,75.31,-16.2,-155.47
0.42,0.17,-0.11,66.46,-8.17,-146.49
0.43,0.24,-0.1,57.54,0.6,-135.57
0.38,0.22,-0.01,52.73,4.63,-123.47
0.33,0.23,0.04,54.55,6.47,-104.82
0.33,0.31,0.05,55.18,5.5,-88.56
0.35,0.47,0.04,45.24,2.23,-74.81
0.39,0.52,0.03,34.06,2.87,-59.11
0.38,0.57,0.04,24.63,3.39,-41.66
0.5,0.55,-0.07,17.71,4.31,-24.02
0.44,0.6,0.02,13.53,5.69,-5.4
0.44,0.67,0.01,7.88,8.35,14.58
0.45,0.8,-0.02,-5.6,12.26,33.27
0.46,0.88,-0.05,-21.04,12.96,52.72
0.46,0.92,-0.04,-37.71,13.65,73.88
0.47,0.88,-0.08,-51.47,15.1,99.48
0.48,0.88,-0.13,-70.31,18.63,120.52
0.45,0.76,-0.15,-91.71,22.87,139.71
0.39,0.59,-0.13,-110.7,23.91,155.47
0.38,0.4,-0.12,-123.3,24.89,169.5
0.27,0.21,-0.01,-128.05,27.57,185.13
0.3,0.03,-0.1,-130.43,28.89,194.55
0.28,-0.07,-0.15,-132.63,30.32,202.84
0.14,-0.19,-0.14,-141.37,26.85,209.74
0.19,-0.35,-0.15,-148.34,30.2,211.48
0.13,-0.51,-0.14,-158.14,29.82,215.65
0.1,-0.78,-0.07,-160.17,27.69,217.39
0.15,-0.98,-0.08,-153.4,25.18,217.07
0.06,-1.14,0.01,-146.17,19.22,213.79
0.03,-1.32,0.05,-136.81,18.17,207.79
-0.05,-1.49,0.17,-128.08,10.99,199.01
-0.04,-1.56,0.18,-123.19,4.5,186.76
0.09,-1.62,-0.11,-126.64,10.37,169.45
-0.15,-1.87,0.26,-103.18,-16.55,169.53
0.37,-1.66,-0.12,-129.01,2.27,167.69
-0.1,-1.91,0.22,-118.98,19.85,152.24
0.02,-1.94,0.23,-102.52,-0.24,128.18
-0.06,-2.01,0.28,-111.28,9.44,110.23
0.06,-2.23,0.31,-79.68,-11.51,97.11
0.3,-2.23,0.17,-56.21,-6.31,85.45
0.75,-1.79,-0.11,-52.78,7.69,67.04
0.3,-2.12,0.2,-20.46,5.3,57.24
0.24,-1.82,0.17,-11.94,-4.03,42.73
0.18,-1.58,0.22,-11.83,1.07,33.89
0.39,-1.42,-0.0,-10.53,-6.89,30.9
0.29,-1.3,0.07,-13.07,-1.83,31.47
0.27,-1.25,0.07,-17.15,-0.14,31.22
0.27,-1.25,0.06,-22.03,0.08,26.49
0.24,-1.33,0.09,-20.47,-1.02,21.85
0.27,-1.34,0.08,-13.02,-0.85,19.63
0.28,-1.31,0.07,-5.21,1.24,15.97
0.24,-1.25,0.09,2.76,3.22,15.27
0.28,-1.11,0.01,4.44,5.53,13.76
0.21,-1.04,0.02,1.71,3.48,10.58
0.22,-1.04,0.0,-1.5,5.62,11.42
0.18,-1.05,0.04,-0.67,6.02,11.62
0.16,-1.04,0.05,-3.48,4.26,8.29
0.14,-1.04,0.05,-6.5,2.95,5.69
0.14,-1.09,0.07,-4.76,3.22,5.74
