acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.02,-1.53,-0.03,-37.72,-31.37,41.27
0.01,-1.67,-0.06,-39.04,-31.83,35.12
0.01,-1.84,-0.02,-43.09,-33.21,19.04
0.08,-2.0,-0.08,-35.47,-31.7,-0.27
0.09,-2.0,-0.06,-20.4,-27.17,-28.3
0.09,-2.0,-0.05,-0.66,-21.22,-62.88
0.08,-2.0,-0.1,19.53,-12.35,-102.65
0.03,-2.0,-0.11,34.0,-4.63,-144.12
-0.0,-2.0,-0.13,47.69,4.48,-181.56
-0.08,-2.0,-0.14,62.02,14.03,-212.39
-0.14,-2.0,-0.16,74.16,22.63,-240.5
-0.25,-2.0,-0.14,89.11,25.69,-250.14
-0.31,-2.0,-0.11,100.07,26.3,-250.14
-0.28,-1.98,-0.18,113.89,34.69,-250.14
-0.4,-2.0,-0.15,133.63,45.11,-250.14
-0.53,-2.0,-0.18,166.42,53.84,-250.14
-0.74,-1.74,-0.21,205.08,58.16,-250.14
-0.9,-1.44,-0.2,239.08,51.85,-250.14
-0.95,-1.3,-0.27,250.13,46.1,-250.14
-0.97,-0.97,-0.4,250.13,40.49,-250.14
-1.08,-0.15,-0.38,250.13,30.5,-250.14
-1.08,0.42,-0.22,243.7,11.86,-250.14
-0.79,0.66,-0.22,203.18,1.67,-250.14
-0.56,0.51,-0.19,174.13,-5.78,-250.14
-0.33,0.23,-0.27,166.84,-4.26,-250.14
-0.18,0.16,-0.38,175.14,7.9,-250.14
-0.13,0.23,-0.37,190.33,21.61,-250.14
-0.17,0.48,-0.33,195.95,29.65,-250.14
-0.21,0.66,-0.26,187.76,27.81,-239.76
-0.21,0.81,-0.19,168.71,19.09,-221.65
-0.2,1.04,-0.14,141.6,7.41,-198.36
-0.15,1.26,-0.04,110.17,-5.2,-162.72
-0.06,1.5,-0.04,75.91,-19.18,-118.22
0.03,1.76,-0.01,35.42,-34.54,-64.65
0.13,1.86,-0.04,0.92,-40.05,-0.67
0.23,1.87,-0.13,-38.27,-43.95,65.76
0.33,1.66,-0.23,-62.42,-38.75,128.29
0.35,1.43,-0.33,-84.79,-32.58,182.34
0.38,1.2,-0.44,-101.24,-18.44,227.98
0.34,1.19,-0.43,-126.35,-8.91,250.13
0.28,1.16,-0.46,-154.39,-1.52,250.13
0.24,1.12,-0.53,-183.05,5.43,250.13
0.12,1.04,-0.59,-212.5,9.05,250.13
0.01,0.91,-0.68,-239.22,18.53,250.13
-0.2,0.66,-0.71,-250.14,25.18,250.13
-0.38,0.36,-0.73,-250.14,31.21,250.13
-0.71,-0.05,-0.64,-250.14,18.91,250.13
-0.95,-0.54,-0.6,-250.14,9.05,250.13
-1.19,-0.98,-0.5,-250.14,-7.56,250.13
-1.31,-1.37,-0.49,-250.14,-32.69,250.13
-1.25,-1.82,-0.53,-250.14,-54.41,250.13
-1.29,-2.0,-0.34,-250.14,-82.89,250.13
-0.86,-2.0,-0.3,-250.14,-90.77,250.13
-0.34,-2.0,-0.3,-221.74,-70.53,250.13
-0.16,-2.0,-0.1,-115.08,-37.98,250.13
-0.09,-2.0,0.01,-36.91,-14.02,240.98
2.0,-2.0,-1.82,-9.13,75.15,199.11
-0.21,-2.0,-0.23,-1.62,11.17,116.09
-0.05,-2.0,-0.35,-34.65,-15.41,73.51
-0.23,-1.78,-0.04,-48.66,4.23,49.45
-0.06,-1.68,-0.04,-41.73,-0.69,37.54
0.15,-1.61,-0.11,-30.15,2.95,33.24
0.13,-1.61,-0.07,-18.54,9.46,32.62
0.12,-1.61,-0.04,-1.63,2.82,16.61
0.16,-1.39,-0.04,10.55,4.38,3.64
0.21,-1.33,-0.15,13.95,5.73,-9.89
0.17,-1.25,-0.17,16.52,10.19,-13.61
0.13,-1.15,-0.19,19.93,13.44,-11.45
0.01,-1.07,-0.1,17.31,18.82,-7.69
0.01,-0.95,-0.16,8.49,10.88,-11.82
0.03,-0.94,-0.15,2.76,10.57,-5.12
-0.03,-0.91,-0.11,3.26,5.53,-0.39
0.06,-1.06,-0.16,5.83,7.97,3.64
0.02,-1.14,-0.15,6.63,9.89,0.23
0.04,-1.17,-0.14,7.84,9.33,-7.66
0.05,-1.2,-0.13,11.87,10.76,-15.12
0.01,-1.19,-0.14,19.5,11.15,-17.34
0.02,-1.08,-0.17,23.53,15.3,-13.02
-0.01,-1.0,-0.15,22.43,17.0,-12.49
-0.04,-0.95,-0.13,19.41,15.61,-11.89
-0.05,-0.95,-0.1,18.73,13.33,-10.18
-0.06,-0.95,-0.08,21.05,10.12,-7.94
-0.05,-0.9,-0.09,19.58,8.08,-5.18
-0.03,-0.86,-0.1,13.77,6.75,-3.33
-0.02,-0.88,-0.11,8.59,5.89,-2.0
-0.03,-0.91,-0.09,6.76,6.19,-0.31
-0.05,-0.92,-0.1,4.69,4.25,-2.04
-0.03,-0.97,-0.09,-1.98,1.47,-6.28
0.04,-1.08,-0.14,-2.58,5.81,-8.12
0.03,-1.14,-0.14,4.24,11.18,-9.37
-0.02,-1.13,-0.1,10.13,11.92,-10.44
-0.02,-1.12,-0.11,14.39,12.82,-8.65
-0.03,-1.05,-0.11,18.42,12.76,-6.89
-0.04,-1.01,-0.1,19.33,11.59,-3.93
-0.04,-0.99,-0.08,18.39,9.45,-2.51
-0.03,-0.97,-0.09,15.85,8.25,-0.66
-0.01,-0.96,-0.09,13.74,7.08,0.8
-0.02,-0.94,-0.07,12.79,5.8,2.11
-0.01,-0.98,-0.05,11.38,3.02,1.47
0.03,-1.02,-0.09,10.95,3.37,-1.48
