acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.06,-1.03,0.0,-15.88,-10.87,2.72
-0.03,-1.06,0.02,-13.92,-10.92,3.4
0.01,-1.1,0.01,-10.14,-9.6,5.59
0.06,-1.13,0.01,-4.76,-6.21,8.47
0.09,-1.21,0.02,2.2,-2.0,10.2
0.13,-1.26,0.02,11.88,2.92,11.45
0.17,-1.23,0.01,19.3,8.95,9.86
0.19,-1.19,-0.02,22.38,15.05,2.64
0.18,-1.14,-0.01,22.69,19.3,-5.59
0.14,-1.1,-0.0,21.76,21.77,-10.09
0.12,-1.08,0.0,21.3,24.0,-8.4
0.12,-1.08,0.01,22.37,26.82,-3.33
0.14,-1.07,-0.0,23.8,30.23,0.6
0.16,-1.09,-0.01,25.47,33.59,4.02
0.19,-1.13,-0.0,29.53,37.56,6.24
0.22,-1.11,-0.01,32.53,42.63,5.45
0.24,-1.1,-0.01,34.0,46.72,-0.6
0.25,-1.09,-0.01,33.92,51.65,-10.18
0.22,-1.09,-0.01,33.28,55.73,-20.64
0.18,-1.1,-0.01,34.61,59.22,-26.82
0.11,-1.1,0.01,37.34,61.56,-27.57
0.12,-1.08,-0.01,39.18,62.92,-24.72
0.18,-1.04,-0.03,38.75,68.2,-21.34
0.19,-1.02,-0.05,36.95,75.65,-16.85
0.15,-1.05,-0.03,36.75,81.3,-13.8
0.09,-1.07,-0.01,38.2,84.29,-14.64
0.08,-1.06,-0.02,39.18,86.26,-17.89
0.05,-1.05,-0.03,39.36,88.53,-23.76
0.0,-1.04,-0.01,39.36,88.31,-28.46
-0.03,-1.06,0.0,39.98,87.65,-30.99
-0.05,-1.04,0.02,40.75,85.68,-30.37
-0.02,-1.02,-0.0,40.67,85.34,-27.83
0.0,-0.99,-0.0,40.34,86.92,-26.12
0.02,-0.97,-0.02,38.69,89.6,-25.47
0.07,-0.96,-0.02,37.24,96.44,-25.13
0.05,-0.99,-0.02,37.01,103.13,-26.23
-0.02,-1.01,-0.0,37.57,104.79,-31.74
-0.08,-1.04,0.01,39.4,103.33,-37.25
-0.04,-1.03,0.02,42.4,104.26,-37.15
-0.04,-1.01,-0.01,45.15,108.2,-32.99
-0.09,-0.98,-0.01,46.53,111.36,-30.24
-0.15,-0.95,0.0,46.58,112.29,-29.01
-0.19,-0.92,0.0,45.97,112.53,-26.43
-0.25,-0.9,0.02,44.21,110.27,-24.35
-0.21,-0.9,0.02,43.11,109.15,-22.85
-0.17,-0.9,0.01,42.21,111.66,-23.04
-0.2,-0.88,0.04,40.29,112.02,-25.44
-0.24,-0.88,0.04,39.05,111.33,-26.69
-0.27,-0.84,0.05,38.81,110.87,-25.27
-0.29,-0.85,0.04,37.83,109.11,-30.32
-0.35,-0.85,0.05,35.08,103.24,-39.82
-0.33,-0.86,0.06,32.41,98.78,-46.06
-0.26,-0.84,0.05,29.21,99.1,-45.71
-0.24,-0.83,0.04,25.34,102.66,-40.09
-0.27,-0.83,0.07,23.21,105.69,-32.24
-0.33,-0.85,0.1,23.56,105.62,-26.47
-0.37,-0.83,0.12,24.18,102.15,-26.24
-0.41,-0.76,0.11,22.55,95.74,-30.35
-0.42,-0.7,0.1,16.73,90.43,-34.02
-0.46,-0.67,0.11,9.6,83.8,-36.12
-0.52,-0.69,0.12,1.68,75.44,-36.29
-0.55,-0.77,0.15,-2.52,66.5,-32.44
-0.54,-0.81,0.17,-3.44,59.98,-26.87
-0.51,-0.82,0.15,-4.76,54.11,-21.57
-0.49,-0.86,0.16,-4.98,50.34,-18.78
-0.52,-0.87,0.17,-4.81,45.15,-20.47
-0.56,-0.86,0.18,-4.69,36.61,-23.21
-0.55,-0.84,0.2,-5.18,28.29,-24.23
-0.54,-0.8,0.18,-6.82,21.54,-20.46
-0.53,-0.78,0.17,-9.85,15.63,-14.47
-0.53,-0.8,0.17,-12.84,10.21,-7.66
-0.53,-0.84,0.17,-14.32,4.14,-1.98
-0.53,-0.88,0.17,-14.31,-1.94,1.16
-0.52,-0.92,0.18,-12.26,-7.77,4.31
-0.52,-0.91,0.18,-9.91,-12.93,8.05
-0.52,-0.87,0.18,-9.71,-18.92,11.18
-0.49,-0.83,0.15,-12.23,-24.29,13.92
-0.48,-0.83,0.14,-15.8,-29.37,17.44
-0.46,-0.82,0.16,-18.89,-34.46,22.56
-0.4,-0.83,0.15,-21.47,-37.27,28.84
-0.37,-0.86,0.14,-22.15,-37.92,35.01
-0.37,-0.89,0.15,-20.78,-38.73,38.82
-0.38,-0.9,0.14,-19.04,-40.52,38.44
-0.41,-0.87,0.14,-19.6,-44.26,33.15
-0.43,-0.84,0.13,-22.98,-50.41,27.4
-0.44,-0.86,0.14,-26.05,-57.39,25.47
-0.4,-0.86,0.11,-29.25,-62.52,27.11
-0.36,-0.9,0.1,-32.02,-64.9,30.87
-0.34,-0.93,0.11,-31.3,-65.5,34.35
-0.32,-0.95,0.11,-28.63,-64.81,36.41
-0.37,-0.92,0.1,-26.02,-65.48,34.5
-0.42,-0.87,0.09,-26.21,-69.25,32.05
-0.46,-0.83,0.09,-30.37,-76.98,29.07
-0.43,-0.83,0.08,-35.97,-85.4,29.92
-0.35,-0.87,0.06,-40.0,-89.25,36.69
-0.31,-0.93,0.06,-40.84,-89.34,43.42
-0.29,-0.96,0.04,-38.67,-88.66,46.31
-0.3,-0.96,0.04,-35.3,-87.45,44.84
-0.37,-0.93,0.05,-31.91,-89.6,39.11
-0.4,-0.86,0.06,-33.85,-97.94,35.08
