acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.04,-0.95,-0.16,-4.29,-1.76,3.79
-0.05,-0.96,-0.16,-3.04,-1.62,5.88
-0.1,-0.93,-0.15,-3.3,-4.29,3.53
0.03,-0.93,-0.2,-0.96,-1.42,10.66
-0.06,-0.99,-0.16,1.63,-2.26,9.25
-0.03,-1.01,-0.17,3.85,-2.37,10.67
-0.02,-1.03,-0.18,8.56,-1.42,12.7
-0.01,-1.05,-0.21,13.86,0.03,15.02
0.01,-1.05,-0.22,18.03,1.54,16.82
0.04,-1.09,-0.25,24.27,3.71,18.23
0.03,-1.14,-0.23,33.45,5.98,22.06
0.0,-1.34,-0.21,56.96,7.82,41.66
-0.0,-1.39,-0.24,85.4,10.12,58.89
0.04,-1.45,-0.29,111.54,11.57,73.24
0.15,-1.44,-0.34,134.47,18.27,80.15
0.22,-1.4,-0.41,148.84,26.67,76.55
0.28,-1.34,-0.45,156.93,37.37,64.37
0.2,-1.25,-0.42,159.5,45.91,53.22
0.12,-1.32,-0.32,170.24,53.37,56.27
0.01,-1.4,-0.25,194.11,57.42,69.86
-0.06,-1.41,-0.18,220.98,58.41,83.56
-0.1,-1.41,-0.15,249.44,58.29,96.66
-0.1,-1.33,-0.12,272.92,57.97,101.94
-0.09,-1.19,-0.16,286.21,58.58,100.72
-0.1,-1.07,-0.16,289.65,57.28,88.7
-0.12,-0.98,-0.08,283.02,56.55,65.89
-0.18,-0.93,-0.03,279.25,56.32,50.15
-0.35,-0.9,0.06,276.06,52.47,52.31
-0.4,-0.99,0.18,290.08,46.81,62.82
-0.46,-0.9,0.21,307.88,32.27,72.24
-0.34,-0.75,0.18,310.02,29.34,78.56
-0.32,-0.66,0.21,308.29,26.05,73.8
-0.36,-0.64,0.25,304.12,23.73,66.26
-0.41,-0.6,0.29,299.01,20.0,59.97
-0.36,-0.61,0.35,294.66,16.03,46.58
-0.36,-0.55,0.34,290.5,15.5,36.12
-0.45,-0.47,0.39,287.13,10.93,34.12
-0.42,-0.47,0.44,290.7,9.59,50.64
-0.41,-0.56,0.44,308.64,5.27,72.7
-0.35,-0.37,0.37,315.39,3.15,79.28
-0.28,-0.26,0.34,307.51,0.78,72.02
-0.25,-0.17,0.36,291.88,0.02,56.34
-0.27,-0.16,0.38,278.61,0.82,40.55
-0.35,-0.16,0.43,269.74,-0.76,35.5
-0.38,-0.19,0.5,272.29,-1.74,44.6
-0.38,-0.21,0.47,281.18,-3.21,57.91
-0.32,-0.16,0.5,291.5,-2.44,67.66
-0.31,-0.05,0.44,297.1,-1.42,74.87
-0.3,0.0,0.48,298.75,-1.4,80.46
-0.28,0.06,0.45,298.73,-2.64,73.98
-0.3,0.19,0.46,292.27,-2.7,65.04
-0.3,0.28,0.47,282.99,-3.15,53.02
-0.36,0.33,0.47,274.2,-4.32,44.67
-0.42,0.19,0.53,279.82,-8.27,51.71
-0.34,0.01,0.52,303.88,-8.67,61.45
-0.33,0.08,0.45,331.53,-6.2,67.5
-0.28,0.41,0.35,342.32,-4.56,74.49
-0.23,0.87,0.27,326.96,-1.15,70.84
-0.27,1.27,0.29,286.63,-4.24,57.1
-0.31,1.45,0.3,235.73,-6.43,40.06
-0.32,1.5,0.33,186.29,-9.73,19.6
-0.29,1.54,0.33,136.82,-11.68,-6.32
-0.25,1.53,0.32,90.11,-11.24,-34.24
-0.3,1.41,0.37,52.11,-13.19,-58.24
-0.35,1.24,0.4,29.71,-16.14,-71.21
-0.3,1.15,0.42,22.67,-13.86,-63.66
-0.26,1.17,0.41,20.9,-8.09,-49.92
-0.2,1.37,0.35,7.1,0.52,-37.73
-0.28,1.57,0.37,-24.53,3.68,-39.39
-0.37,1.53,0.38,-62.05,0.05,-46.37
-0.41,1.43,0.41,-93.13,-4.23,-52.32
-0.34,1.31,0.42,-115.44,-6.26,-55.62
-0.3,1.22,0.4,-133.98,-3.59,-57.94
-0.27,1.15,0.4,-150.18,-1.33,-61.66
-0.33,1.16,0.42,-170.69,-1.47,-71.45
-0.37,1.17,0.43,-194.06,-3.69,-75.18
-0.38,1.12,0.43,-213.62,-5.47,-69.94
-0.4,1.08,0.45,-231.59,-7.19,-59.11
-0.43,1.05,0.44,-249.68,-12.03,-51.95
-0.51,1.13,0.43,-279.83,-19.69,-51.66
-0.48,1.09,0.38,-312.7,-26.92,-51.51
-0.43,0.96,0.32,-342.53,-29.51,-50.0
-0.41,0.85,0.31,-370.52,-32.81,-55.82
-0.35,0.68,0.26,-393.01,-33.18,-59.71
-0.34,0.45,0.25,-404.9,-32.38,-60.76
-0.35,0.33,0.22,-413.22,-34.15,-60.64
-0.33,0.23,0.19,-419.57,-35.85,-61.53
-0.31,0.17,0.13,-428.81,-37.66,-62.11
-0.31,0.05,0.1,-437.3,-39.76,-59.16
-0.31,-0.08,0.05,-441.54,-41.28,-58.61
-0.27,-0.18,0.03,-443.25,-41.31,-55.19
-0.29,-0.23,0.01,-445.24,-41.47,-52.72
-0.25,-0.33,-0.04,-445.76,-43.68,-55.91
-0.22,-0.49,-0.12,-444.64,-44.92,-66.21
-0.21,-0.65,-0.11,-438.05,-45.27,-75.25
-0.19,-0.75,-0.12,-429.13,-46.34,-86.96
-0.24,-0.83,-0.09,-416.09,-52.5,-93.86
-0.24,-0.8,-0.09,-399.76,-59.08,-95.1
-0.22,-0.72,-0.16,-387.16,-62.6,-83.04
-0.21,-0.74,-0.17,-373.36,-64.56,-61.92
