acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.11,-0.98,-0.19,-10.12,-2.7,1.1
0.13,-1.0,-0.2,-9.31,-2.52,2.75
0.14,-1.02,-0.21,-7.33,-1.69,5.15
0.16,-1.05,-0.22,-4.26,0.43,6.4
0.16,-1.07,-0.22,-0.38,1.92,6.6
0.18,-1.11,-0.22,5.28,3.86,7.3
0.2,-1.15,-0.23,13.63,7.25,7.76
0.18,-1.18,-0.22,23.16,9.05,6.56
0.15,-1.21,-0.21,34.44,11.24,8.11
0.09,-1.28,-0.19,52.63,12.26,18.47
0.05,-1.37,-0.16,79.73,11.19,35.27
0.06,-1.41,-0.18,110.79,11.4,56.2
0.04,-1.44,-0.19,146.72,11.94,84.08
0.11,-1.38,-0.27,180.09,15.97,105.25
0.19,-1.28,-0.34,203.05,23.27,115.15
0.26,-1.18,-0.36,219.5,33.28,114.96
0.29,-1.17,-0.35,233.02,44.38,102.43
0.28,-1.19,-0.26,251.16,56.93,86.17
0.18,-1.15,-0.19,274.56,66.61,75.45
0.08,-0.95,-0.19,292.12,75.21,71.22
-0.03,-0.76,-0.19,304.55,78.06,79.11
-0.1,-0.69,-0.21,318.82,79.65,103.15
-0.09,-0.58,-0.24,333.22,82.26,126.52
-0.04,-0.46,-0.26,338.79,85.53,144.29
0.01,-0.39,-0.27,338.78,90.05,151.54
0.03,-0.36,-0.23,334.05,94.95,149.71
0.02,-0.38,-0.16,327.37,97.92,135.45
-0.01,-0.35,-0.11,318.21,102.92,118.29
-0.09,-0.32,-0.08,310.61,109.6,113.3
-0.21,-0.35,-0.04,313.65,116.41,133.56
-0.36,-0.4,0.03,330.31,116.23,161.5
-0.42,-0.45,0.05,350.03,109.15,174.96
-0.36,-0.48,0.04,371.36,103.36,174.4
-0.32,-0.36,0.05,381.34,96.66,161.25
-0.15,-0.15,-0.02,374.96,96.82,134.2
-0.02,0.12,-0.09,355.27,108.96,112.82
-0.11,0.25,-0.04,333.08,122.5,110.08
-0.23,0.2,0.06,323.36,133.05,122.75
-0.26,-0.04,0.13,335.37,143.39,149.1
-0.35,-0.03,0.12,352.17,149.91,159.89
-0.23,0.14,0.06,357.97,159.36,156.23
-0.34,0.5,0.07,339.24,163.71,131.44
-0.48,0.78,0.18,300.29,156.98,97.76
-0.57,0.9,0.26,260.15,151.45,72.29
-0.64,0.88,0.33,226.34,147.37,58.87
-0.72,0.88,0.38,201.71,144.89,56.37
-0.98,1.18,0.52,181.42,145.65,70.81
-0.85,0.99,0.49,156.6,133.04,45.18
-0.84,0.98,0.51,128.49,129.79,12.52
-1.0,1.0,0.65,92.17,113.37,-7.63
-1.07,0.95,0.76,61.74,98.06,-32.96
-1.16,0.84,0.86,38.09,82.75,-47.95
-1.2,0.71,0.94,23.59,67.68,-55.45
-1.1,0.59,0.97,21.54,63.92,-47.85
-1.11,0.55,1.04,29.02,65.51,-27.59
-1.18,0.7,1.09,30.99,64.73,-7.54
-1.35,0.75,1.16,24.52,57.97,5.42
-1.43,0.74,1.23,15.95,39.5,5.24
-1.44,0.73,1.23,2.06,19.15,-12.41
-1.45,0.75,1.21,-12.64,-2.06,-29.86
-1.4,0.73,1.16,-25.45,-18.9,-41.42
-1.4,0.7,1.11,-33.47,-34.26,-45.92
-1.34,0.69,1.06,-35.51,-45.11,-39.36
-1.3,0.74,0.99,-38.55,-53.24,-26.79
-1.25,0.75,0.93,-45.57,-60.69,-18.92
-1.21,0.74,0.86,-57.15,-71.01,-21.04
-1.17,0.74,0.81,-73.91,-82.79,-32.79
-1.1,0.78,0.75,-96.53,-91.88,-50.26
-1.04,0.77,0.68,-120.47,-102.02,-68.73
-1.04,0.72,0.66,-142.29,-110.53,-85.47
-1.0,0.66,0.63,-158.37,-116.66,-93.39
-0.95,0.6,0.6,-171.28,-120.17,-91.88
-0.87,0.52,0.57,-179.95,-120.27,-84.85
-0.8,0.41,0.53,-186.93,-118.75,-77.82
-0.78,0.35,0.51,-196.63,-118.99,-78.95
-0.72,0.28,0.49,-208.41,-120.05,-85.83
-0.68,0.22,0.47,-217.15,-121.02,-94.29
-0.63,0.22,0.43,-224.56,-120.03,-95.3
-0.6,0.22,0.4,-230.95,-117.02,-89.79
-0.67,0.18,0.39,-238.37,-118.35,-85.39
-0.65,0.07,0.39,-241.74,-120.49,-83.21
-0.65,0.01,0.36,-243.5,-121.53,-80.41
-0.66,-0.03,0.36,-245.63,-124.87,-82.2
-0.68,0.04,0.33,-253.66,-132.52,-90.96
-0.59,0.11,0.26,-267.44,-139.42,-102.9
-0.45,0.15,0.19,-281.47,-137.88,-105.53
-0.34,0.14,0.1,-296.66,-128.7,-98.98
-0.42,0.05,0.07,-311.53,-123.15,-99.65
-0.51,-0.1,0.11,-322.38,-127.53,-100.85
-0.43,-0.36,0.12,-323.48,-134.72,-118.27
-0.26,-0.48,0.14,-318.92,-139.05,-148.82
-0.09,-0.5,0.09,-317.79,-135.74,-180.43
-0.11,-0.43,0.1,-319.01,-132.58,-201.1
-0.12,-0.42,0.09,-317.4,-131.19,-206.43
-0.06,-0.39,0.04,-312.73,-123.66,-191.47
-0.13,-0.33,-0.01,-309.95,-118.23,-165.5
-0.16,-0.3,-0.07,-311.08,-118.5,-145.66
-0.11,-0.3,-0.11,-317.82,-122.49,-142.69
0.04,-0.43,-0.17,-324.73,-121.22,-134.81
0.26,-0.66,-0.22,-320.47,-105.31,-124.84
