acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.13,-1.02,-0.36,1.27,-28.87,14.41
-0.14,-1.04,-0.36,6.99,-31.39,16.37
-0.15,-1.01,-0.36,9.89,-33.11,18.99
-0.18,-1.06,-0.33,15.73,-35.8,26.53
-0.23,-1.16,-0.26,29.16,-40.99,34.2
-0.26,-1.19,-0.28,46.73,-46.44,40.49
-0.22,-1.14,-0.29,58.6,-50.5,45.19
-0.22,-1.16,-0.31,68.08,-53.94,51.21
-0.2,-1.23,-0.28,81.04,-57.01,51.85
-0.25,-1.33,-0.24,98.02,-62.27,51.82
-0.23,-1.41,-0.24,120.75,-66.53,52.84
-0.19,-1.42,-0.28,142.44,-70.66,45.02
-0.21,-1.38,-0.3,156.81,-73.45,39.68
-0.24,-1.45,-0.26,174.38,-77.59,33.34
-0.23,-1.48,-0.26,195.83,-80.4,28.18
-0.22,-1.41,-0.28,212.6,-81.97,21.4
-0.27,-1.35,-0.27,224.69,-85.07,17.47
-0.29,-1.31,-0.25,240.6,-87.66,20.61
-0.24,-1.21,-0.22,253.63,-90.69,22.7
-0.21,-1.03,-0.28,250.93,-90.78,21.74
-0.2,-1.11,-0.22,252.63,-87.69,22.12
-0.18,-1.08,-0.2,256.7,-86.63,23.1
-0.22,-1.04,-0.14,255.42,-87.73,21.31
-0.16,-1.1,-0.1,260.56,-86.56,19.74
-0.18,-1.0,-0.09,261.48,-84.12,16.34
-0.25,-1.02,0.03,262.35,-87.83,12.21
-0.2,-1.07,0.03,270.92,-87.04,8.98
-0.08,-1.02,-0.0,277.54,-83.07,4.79
-0.01,-0.87,-0.04,272.05,-74.49,-4.12
0.03,-0.71,-0.04,256.55,-62.69,-14.03
-0.03,-0.69,0.06,244.11,-53.59,-18.63
-0.02,-0.73,0.12,240.89,-44.81,-19.28
0.01,-0.65,0.13,237.22,-34.73,-22.93
0.03,-0.53,0.14,223.95,-23.44,-30.95
-0.02,-0.55,0.22,209.77,-14.72,-35.63
0.02,-0.61,0.23,205.68,-5.13,-40.32
0.02,-0.54,0.28,199.69,3.13,-47.51
0.05,-0.49,0.26,189.6,13.59,-54.26
0.04,-0.5,0.3,183.34,24.34,-57.04
-0.06,-0.4,0.33,175.31,30.98,-61.88
-0.23,-0.23,0.44,157.5,26.73,-67.47
-0.31,-0.25,0.54,143.77,20.58,-60.52
-0.29,-0.49,0.63,157.53,13.63,-39.6
-0.21,-0.52,0.58,176.08,10.78,-26.38
-0.12,-0.43,0.55,178.89,11.89,-25.25
-0.06,-0.36,0.52,173.83,16.37,-28.84
0.01,-0.29,0.46,165.3,23.83,-39.37
-0.08,-0.19,0.49,150.69,25.62,-54.32
-0.18,-0.2,0.58,139.95,23.6,-57.88
-0.2,-0.27,0.62,150.7,23.27,-40.58
-0.26,-0.17,0.63,161.02,20.35,-19.31
-0.23,0.0,0.63,158.52,16.9,-5.24
-0.18,0.07,0.62,146.15,13.79,-0.52
-0.14,0.11,0.6,128.7,11.65,-6.82
-0.1,0.13,0.6,108.27,10.64,-17.86
-0.02,0.16,0.56,89.82,14.78,-24.79
-0.0,0.18,0.55,70.15,21.42,-29.95
-0.09,0.18,0.59,52.14,25.63,-32.2
-0.19,0.17,0.66,37.34,24.6,-30.84
-0.22,0.14,0.72,29.25,22.23,-24.82
-0.22,0.1,0.71,28.05,20.4,-10.93
-0.19,0.07,0.7,31.45,20.75,2.09
-0.19,0.08,0.72,32.46,19.51,10.7
-0.12,0.07,0.68,31.18,20.79,8.85
-0.1,0.1,0.66,24.12,24.67,3.24
-0.16,0.1,0.67,14.76,26.82,-4.56
-0.18,0.12,0.7,7.39,27.39,-9.69
-0.16,0.12,0.7,4.7,28.17,-10.72
-0.19,0.15,0.7,3.05,27.76,-4.69
-0.19,0.12,0.72,3.77,27.73,5.63
-0.19,0.16,0.71,1.07,28.34,12.37
-0.16,0.14,0.71,-5.85,31.08,13.56
-0.15,0.05,0.72,-10.98,35.4,9.57
-0.18,-0.02,0.74,-13.66,38.37,2.53
-0.22,-0.09,0.76,-11.85,40.6,-3.24
-0.25,-0.09,0.78,-4.6,39.5,-6.0
-0.27,-0.02,0.78,1.53,36.92,-4.24
-0.21,0.01,0.73,6.43,37.51,1.45
-0.17,0.06,0.68,6.79,41.73,4.7
-0.18,0.12,0.67,-1.57,46.38,3.28
-0.26,0.14,0.71,-12.58,49.02,0.64
-0.34,0.12,0.75,-21.6,48.66,-0.99
-0.35,0.05,0.77,-24.02,47.37,-0.72
-0.33,0.01,0.76,-19.89,46.5,3.71
-0.26,-0.02,0.72,-13.21,49.42,8.98
-0.24,0.0,0.71,-8.93,53.51,10.09
-0.26,0.04,0.7,-9.77,58.78,6.75
-0.32,0.03,0.73,-13.56,62.73,4.03
-0.43,-0.03,0.79,-15.3,62.5,2.34
-0.48,-0.11,0.85,-12.14,59.05,3.02
-0.48,-0.19,0.85,-1.19,54.95,3.04
-0.42,-0.19,0.84,13.36,51.37,2.92
-0.39,-0.08,0.79,23.51,50.03,3.86
-0.36,0.11,0.73,20.27,52.24,4.6
-0.38,0.19,0.74,6.49,55.92,4.85
-0.39,0.15,0.76,-7.25,59.71,4.49
-0.44,0.06,0.78,-16.82,62.63,3.01
-0.49,-0.08,0.85,-16.4,62.29,1.37
-0.51,-0.17,0.88,-6.49,59.97,-1.16
-0.53,-0.16,0.92,6.03,56.11,-2.26
