acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
-0.04,-1.66,-0.07,298.44,-108.58,99.44
0.04,-1.64,-0.18,337.24,-115.19,105.53
0.09,-1.67,-0.28,373.73,-120.56,103.15
0.06,-1.77,-0.32,411.66,-124.05,97.02
0.01,-1.97,-0.26,463.83,-128.21,90.4
-0.14,-2.3,-0.17,500.26,-133.53,85.59
-0.3,-2.7,-0.11,500.26,-149.15,82.46
-0.39,-3.0,-0.34,500.26,-167.98,104.18
-0.31,-3.05,-0.81,500.26,-177.48,149.18
-0.24,-2.96,-1.23,500.26,-181.28,193.01
-0.12,-2.72,-1.8,500.26,-190.53,210.64
0.14,-2.32,-2.51,500.26,-176.23,207.66
0.34,-1.66,-2.87,500.26,-165.59,184.99
0.42,-1.0,-2.99,500.26,-148.38,99.53
0.28,-0.42,-2.81,500.26,-143.57,-0.84
0.02,0.04,-2.44,500.26,-125.65,-93.33
-0.25,0.41,-2.21,500.26,-112.93,-146.29
-0.29,0.8,-2.17,500.26,-95.82,-162.76
-0.42,1.56,-2.04,500.26,-78.03,-166.98
-0.48,2.58,-1.83,500.26,-77.34,-171.36
-0.43,3.17,-1.51,429.24,-80.02,-151.44
-0.36,3.17,-1.34,303.13,-77.11,-114.32
-0.17,2.73,-1.34,214.92,-61.98,-79.73
-0.02,2.29,-1.32,158.67,-32.53,-53.76
0.03,1.98,-1.21,131.45,-2.09,-38.66
0.09,1.92,-1.04,109.8,24.18,-29.73
0.12,1.83,-0.83,92.61,47.42,-28.38
-0.02,1.83,-0.52,76.35,58.89,-25.92
-0.06,1.88,-0.28,56.79,64.06,-17.91
-0.08,1.87,-0.12,38.64,72.84,-3.02
-0.1,1.85,-0.01,22.02,77.36,13.85
-0.06,1.69,0.0,17.56,77.01,30.23
-0.09,1.68,0.06,13.77,72.85,31.82
-0.24,1.81,0.16,-2.7,67.91,23.42
-0.13,1.87,0.12,-28.41,63.02,17.66
-0.09,1.84,0.11,-52.66,48.98,10.7
-0.03,1.98,0.02,-83.45,50.53,4.5
-0.03,2.07,-0.03,-126.96,55.53,0.35
-0.01,2.23,-0.08,-184.24,62.06,-5.42
-0.0,2.48,-0.26,-267.66,71.8,-22.95
-0.06,2.7,-0.37,-377.94,79.36,-47.37
-0.24,2.57,-0.42,-490.43,72.12,-74.76
-0.47,2.39,-0.47,-500.27,47.54,-111.65
-0.57,2.44,-0.6,-500.27,12.69,-165.31
-0.69,2.42,-0.7,-500.27,-45.57,-240.26
-0.76,2.15,-0.87,-500.27,-130.75,-338.52
-0.6,1.82,-1.13,-500.27,-234.75,-427.33
-0.32,1.28,-1.47,-500.27,-329.85,-492.03
0.14,0.9,-1.86,-500.27,-385.28,-500.27
0.71,0.55,-2.13,-500.27,-395.73,-500.27
1.1,0.09,-2.23,-500.27,-362.14,-433.21
1.28,0.15,-2.09,-500.27,-294.35,-339.18
1.17,0.26,-2.0,-500.27,-225.51,-229.19
0.95,0.26,-1.94,-500.27,-183.83,-103.53
0.63,-0.02,-1.81,-500.27,-150.11,28.27
0.48,-0.74,-1.51,-500.27,-117.54,93.31
0.49,-1.23,-1.35,-500.27,-65.74,111.86
0.27,-1.38,-1.06,-500.27,-38.2,107.05
0.08,-1.42,-0.75,-466.96,-35.54,50.99
0.01,-1.53,-0.6,-454.32,-39.57,10.27
0.02,-1.65,-0.37,-433.77,-29.59,-1.51
-0.1,-1.89,-0.24,-373.63,-38.26,9.51
-0.22,-2.03,-0.1,-278.89,-64.05,25.39
-0.16,-1.91,-0.19,-173.79,-83.37,40.84
-0.02,-1.54,-0.35,-109.83,-88.47,50.93
0.09,-1.32,-0.53,-76.34,-85.51,49.98
0.28,-1.16,-0.71,-69.27,-71.68,37.33
0.4,-1.14,-0.79,-67.01,-46.41,27.31
0.38,-1.17,-0.77,-64.46,-21.08,17.07
0.28,-1.18,-0.69,-64.02,-0.9,8.43
0.18,-1.28,-0.59,-57.94,15.54,5.39
0.08,-1.39,-0.49,-43.27,29.21,7.01
-0.05,-1.43,-0.35,-25.45,30.14,6.17
-0.12,-1.48,-0.28,-6.75,23.5,5.59
-0.09,-1.46,-0.27,10.06,14.92,0.29
-0.06,-1.35,-0.28,19.02,9.74,-4.0
-0.01,-1.28,-0.28,27.07,8.12,-5.76
-0.0,-1.2,-0.29,33.57,9.57,-5.95
-0.0,-1.13,-0.27,38.87,11.22,-2.64
0.02,-1.04,-0.27,38.69,14.47,1.85
0.0,-1.03,-0.24,35.34,15.88,4.08
0.01,-1.01,-0.23,30.21,17.62,2.82
-0.0,-1.0,-0.19,24.49,19.25,4.87
-0.01,-1.01,-0.16,22.63,20.95,5.6
-0.05,-1.04,-0.13,25.56,19.79,8.52
-0.03,-1.04,-0.1,27.39,18.12,8.09
-0.06,-1.02,-0.09,25.07,15.74,4.76
-0.05,-0.94,-0.08,18.78,12.98,2.24
-0.04,-0.93,-0.09,14.5,11.54,0.95
-0.04,-0.91,-0.1,10.26,8.7,1.6
-0.04,-0.88,-0.12,5.48,7.37,4.53
-0.02,-0.89,-0.15,2.96,6.72,7.22
-0.02,-0.86,-0.14,-2.52,7.28,10.41
-0.01,-0.9,-0.16,-5.62,6.02,12.93
-0.0,-0.94,-0.17,-7.22,5.04,13.8
0.0,-0.97,-0.17,-7.3,2.76,13.85
-0.01,-1.02,-0.16,-5.98,0.38,11.57
-0.0,-1.06,-0.16,-3.19,-2.06,9.22
0.0,-1.08,-0.17,0.82,-3.25,7.68
0.01,-1.05,-0.2,3.4,-2.29,6.55
